Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
CC,This data use modifier indicates that the data is allowed for use in clinical use and care.,False,STRING,,,,
COL,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,False,STRING,collaborationRequired,,,
DSR,This data use permission indicates that use is allowed provided it is related to the specified disease.,False,STRING,diseaseSpecificResearch,,,
DUOPlus1,Source geography is relevant to governance decisions.,False,STRING,sourceGeography,,,
DUOPlus2,Study population is relevant to governance decisions.,False,STRING,populationType,,,
DUOPlus3,Data deidentification is relevant to governance decisions.,False,STRING,deidentificationType,,,
DUOPlus4,A data permission designation is associated with the Study.,False,STRING,dataPermission,,,
DUOPlus5,A data tier designation is associated with the Study.,False,STRING,dataTier,,,
DUOPlus6,A license is associated with the Study.,False,STRING,license,,,
DUOPlus7,Attribution conditions are associated with this Study.,False,STRING,attribution,,,
GRU,This data use permission indicates that use is allowed for general research use for any research purpose.,False,STRING,,,,
GSO,This data use modifier indicates that use is limited to genetic studies only.,False,STRING,,,,
GSR,This data use modifier indicates that use is limited to within a specific geographic region.,False,STRING,geographicalRestriction,,,
HMB,This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.,False,STRING,,,,
IRB,This data use modifier indicates that the requestor must provide documentation of local IRB/ERB approval.,False,STRING,,,,
IST,This data use modifier indicates that use is limited to use within an approved institution.,False,STRING,institutionSpecificRestriction,,,
MOR,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,False,STRING,publicationMoratorium,,,
NCU,This data use modifier indicates that use of the data is limited to not-for-profit use.,False,STRING,,,,
NMDS,This data use modifier indicates that use does not allow methods development research.,False,STRING,,,,
NPOA,"This data use modifier indicates use for purposes of population, origin, or ancestry research is prohibited.",False,STRING,,,,
NPU,This data use modifier indicates that use of the data is limited to not-for-profit organisations.,False,STRING,,,,
NPUNCU,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.",False,STRING,,,,
NRES,This data use permission indicates there is no restriction on use.,False,STRING,,,,
POA,This data use permission indicates that use of the data is limited to the study of population origins or ancestry.,False,STRING,,,,
PS,This data use modifier indicates that use is limited to use within an approved project.,False,STRING,,,,
PUB,This data use modifier indicates that requestor agrees to make results of studies using the data available to the larger scientific community.,False,STRING,,,,
RST,This data use modifier indicates that use is limited to studies of a certain research type.,False,STRING,researchSpecificRestrictions,,,
RTN,This data use modifier indicates that the requestor must return derived/enriched data to the database/resource.,False,STRING,,,,
TSM,This data use modifier indicates that use is approved for a specific number of months.,False,STRING,timeLimitOnUse,,,
USE,This data use modifier indicates that use is limited to use by approved users.,False,STRING,userSpecificRestriction,,,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,False,STRING,,,,
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",False,STRING,,,,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,False,STRING_LIST,,,,"Agreement, Attestation, Award, Other"
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,False,STRING_LIST,,,,"Anonymous, Open, Controlled, Private"
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.",False,STRING_LIST,,,,"IRB, HMB, PUB, USE, NPOA, COL, NCU, NPUNCU, RST, TSM, NRES, NPU, POA, MOR, GSO, RTN, CC, NMDS, IST, GSR, DSR, GRU, PS, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7"
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,False,STRING_LIST,,,,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other"
diseaseSpecificResearch,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list.,False,STRING_LIST,,,,
