Key,Key Description,columnType,Source,Parent
10x multiome,,STRING_LIST,,ManifestColumn
 16SrRNAseq,,STRING_LIST,,ManifestColumn
 active avoidance learning behavior,,STRING_LIST,,ManifestColumn
 anxiety-related behavior,,STRING_LIST,,ManifestColumn
 ATACSeq,,STRING_LIST,,ManifestColumn
 atomicForceMicroscopy,,STRING_LIST,,ManifestColumn
 autoradiography,,STRING_LIST,,ManifestColumn
 Baker Lipidomics,,STRING_LIST,,ManifestColumn
 Biocrates Bile Acids,,STRING_LIST,,ManifestColumn
 Biocrates p180,,STRING_LIST,,ManifestColumn
 Biocrates Q500,,STRING_LIST,,ManifestColumn
 bisulfiteSeq,,STRING_LIST,,ManifestColumn
 Blood Chemistry Measurement,,STRING_LIST,,ManifestColumn
 brightfieldMicroscopy,,STRING_LIST,,ManifestColumn
 cellViabilityAssay,,STRING_LIST,,ManifestColumn
 ChIPSeq,,STRING_LIST,,ManifestColumn
 CITESeq,,STRING_LIST,,ManifestColumn
 contextual conditioning behavior,,STRING_LIST,,ManifestColumn
 CUT&Tag,,STRING_LIST,,ManifestColumn
 DIA,,STRING_LIST,,ManifestColumn
 DNA optical mapping,,STRING_LIST,,ManifestColumn
 electrochemiluminescence,,STRING_LIST,,ManifestColumn
 elevated plus maze test,,STRING_LIST,,ManifestColumn
 elevated T maze apparatus method,,STRING_LIST,,ManifestColumn
 ELISA,,STRING_LIST,,ManifestColumn
 errBisulfiteSeq,,STRING_LIST,,ManifestColumn
 exomeSeq,,STRING_LIST,,ManifestColumn
 FIA-MSMS,,STRING_LIST,,ManifestColumn
 FitBark,,STRING_LIST,,ManifestColumn
 frailty assessment,,STRING_LIST,,ManifestColumn
 Genotyping,,STRING_LIST,,ManifestColumn
 HI-C,,STRING_LIST,,ManifestColumn
 HiChIPseq,,STRING_LIST,,ManifestColumn
 high content screen,,STRING_LIST,,ManifestColumn
 HPLC,,STRING_LIST,,ManifestColumn
 HPLC-MSMS,,STRING_LIST,,ManifestColumn
 Immunocytochemistry,,STRING_LIST,,ManifestColumn
 immunofluorescence,,STRING_LIST,,ManifestColumn
 immunohistochemistry,,STRING_LIST,,ManifestColumn
 in vivo bioluminescence,,STRING_LIST,,ManifestColumn
 ISOSeq,,STRING_LIST,,ManifestColumn
 jumpingLibrary,,STRING_LIST,,ManifestColumn
 kinesthetic behavior,,STRING_LIST,,ManifestColumn
 label free mass spectrometry,,STRING_LIST,,ManifestColumn
 Laser Speckle Imaging,,STRING_LIST,,ManifestColumn
 LC-MS,,STRING_LIST,,ManifestColumn
 LC-MSMS,,STRING_LIST,,ManifestColumn
 LC-SRM,,STRING_LIST,,ManifestColumn
 Leiden Oxylipins,,STRING_LIST,,ManifestColumn
 lentiMPRA,,STRING_LIST,,ManifestColumn
 LFP,,STRING_LIST,,ManifestColumn
 liquid chromatography-electrochemical detection,,STRING_LIST,,ManifestColumn
 lncrnaSeq,,STRING_LIST,,ManifestColumn
 locomotor activation behavior,,STRING_LIST,,ManifestColumn
 long-read rnaSeq,,STRING_LIST,,ManifestColumn
 LTP,,STRING_LIST,,ManifestColumn
 MDMS-SL,,STRING_LIST,,ManifestColumn
 memory behavior,,STRING_LIST,,ManifestColumn
 Metabolon,,STRING_LIST,,ManifestColumn
 methylationArray,,STRING_LIST,,ManifestColumn
