Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
acquisitionBatchSize,The number of samples,False,STRING,,,ManifestColumn,
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,False,STRING,,,ManifestColumn,
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
acquisitionSoftware,"The name of the acquisition software used. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
batchLabel,Used to supply batch label information with any string value,False,STRING,,,ManifestColumn,
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes. Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",True,STRING,,,ManifestColumn,
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
experimentalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,False,STRING,,,ManifestColumn,
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.Unit of measure-C, F, K, Not specified",False,NUMBER,,,ManifestColumn,
gasFlowTemperatureUnit,Unit of gas flow temperature,False,STRING,,,ManifestColumn,"C,F,K"
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.",False,BOOLEAN,,,ManifestColumn,
hasIonizationSource,Were the ionization conditions recorded to enable reproduction of the experiment?,False,BOOLEAN,,,ManifestColumn,"No,Yes"
instrumentModel,"The model of the instrument used. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
ionProperty,Ion charge state (positive or negative-ion analysis),False,STRING,,,ManifestColumn,"Negative,Positive"
lensVoltages,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",False,NUMBER,,,ManifestColumn,
lensVoltagesUnit,Unit of lens voltages,False,STRING,,,ManifestColumn,
measurementTechnique,"The name of the measurement technique describing the assay method. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
