Key,Key Description,columnType,Source,Parent
Arivale Scientific Wellness Study (SWS),,STRING,,ManifestColumn
 Cardiovascular Health Study (CHS),,STRING,,ManifestColumn
 Centenarian,,STRING,,ManifestColumn
 Denmark Family,,STRING,,ManifestColumn
 Not applicable,,STRING,,ManifestColumn
 Not collected,,STRING,,ManifestColumn
 Not specified,,STRING,,ManifestColumn
 Other,,STRING,,ManifestColumn
 Study of Osteoporotic Fractures (SOF),,STRING,,ManifestColumn
 SuperAgers Family Study,,STRING,,ManifestColumn
 The Health Aging and Body Composition Studay (HealthABC),,STRING,,ManifestColumn
 The Osteoporotic Fractures in Men (MrOS) Study,,STRING,,ManifestColumn
 Unknown,,STRING,,ManifestColumn
 US Family,,STRING,,ManifestColumn
