Key,Key Description,columnType,Source,Parent
abyssinian ground hornbill,,STRING,,ManifestColumn
 adriatic sturgeon,,STRING,,ManifestColumn
 aeolian wall lizard,,STRING,,ManifestColumn
 african grass rat,,STRING,,ManifestColumn
 alpaca,,STRING,,ManifestColumn
 alvarez's mastiff bat,,STRING,,ManifestColumn
 amazonian toadfish,,STRING,,ManifestColumn
 american alligator,,STRING,,ManifestColumn
 american beaver,,STRING,,ManifestColumn
 american crow,,STRING,,ManifestColumn
 american flamingo,,STRING,,ManifestColumn
 american goldfinch,,STRING,,ManifestColumn
 american mink,,STRING,,ManifestColumn
 american red squirrel,,STRING,,ManifestColumn
 american robin,,STRING,,ManifestColumn
 american shad,,STRING,,ManifestColumn
 american tree sparrow,,STRING,,ManifestColumn
 american woodcock,,STRING,,ManifestColumn
 anna's hummingbird,,STRING,,ManifestColumn
 antarctic jonasfish,,STRING,,ManifestColumn
 antarctic lanternfish,,STRING,,ManifestColumn
 antarctic spiny plunderfish,,STRING,,ManifestColumn
 argentine brown bat,,STRING,,ManifestColumn
 asian arowana,,STRING,,ManifestColumn
 asian elephant,,STRING,,ManifestColumn
 atlantic cod,,STRING,,ManifestColumn
 atlantic hagfish,,STRING,,ManifestColumn
 atlantic halibut,,STRING,,ManifestColumn
 atlantic horse mackerel,,STRING,,ManifestColumn
 atlantic stingray,,STRING,,ManifestColumn
 atlantic white-sided dolphin,,STRING,,ManifestColumn
 ballan wrasse,,STRING,,ManifestColumn
 banded archerfish,,STRING,,ManifestColumn
 banded killifish,,STRING,,ManifestColumn
 bank vole,,STRING,,ManifestColumn
 barbel,,STRING,,ManifestColumn
 barn swallow,,STRING,,ManifestColumn
 barnacle goose,,STRING,,ManifestColumn
 barred grass snake,,STRING,,ManifestColumn
 basking shark,,STRING,,ManifestColumn
 bearded vulture,,STRING,,ManifestColumn
 big brown bat,,STRING,,ManifestColumn
 black goby,,STRING,,ManifestColumn
 black mastiff bat,,STRING,,ManifestColumn
 black rat,,STRING,,ManifestColumn
 black rhinoceros,,STRING,,ManifestColumn
 black-headed gull,,STRING,,ManifestColumn
 black-legged kittiwake,,STRING,,ManifestColumn
 blainville's beaked whale,,STRING,,ManifestColumn
 blue catfish,,STRING,,ManifestColumn
 blue grosbeak,,STRING,,ManifestColumn
 blue jay,,STRING,,ManifestColumn
 blue whale,,STRING,,ManifestColumn
 blue whiting,,STRING,,ManifestColumn
 blue-and-yellow macaw,,STRING,,ManifestColumn
 blunt-snouted clingfish,,STRING,,ManifestColumn
 bocage's wall lizard,,STRING,,ManifestColumn
 boeseman's rainbowfish,,STRING,,ManifestColumn
 bolivian squirrel monkey,,STRING,,ManifestColumn
 bolson tortoise,,STRING,,ManifestColumn
 bowhead whale,,STRING,,ManifestColumn
 brauer's lanternfish,,STRING,,ManifestColumn
 brown long-eared bat,,STRING,,ManifestColumn
 brown rat,,STRING,,ManifestColumn
 brown thrasher,,STRING,,ManifestColumn
 brown trout,,STRING,,ManifestColumn
 brown-headed cowbird,,STRING,,ManifestColumn
 budgerigar,,STRING,,ManifestColumn
 bushy-tailed woodrat,,STRING,,ManifestColumn
 butterfly blenny,,STRING,,ManifestColumn
 cairo spiny mouse,,STRING,,ManifestColumn
 california sea lion,,STRING,,ManifestColumn
 canada goose,,STRING,,ManifestColumn
 canada lynx,,STRING,,ManifestColumn
 cape hairy bat,,STRING,,ManifestColumn
 capybara,,STRING,,ManifestColumn
 carolina chickadee,,STRING,,ManifestColumn
 carolina wren,,STRING,,ManifestColumn
 caspian tern,,STRING,,ManifestColumn
 catalonian wall lizard,,STRING,,ManifestColumn
 cattle,,STRING,,ManifestColumn
 cave nectar bat,,STRING,,ManifestColumn
 cedar waxwing,,STRING,,ManifestColumn
 channel bull blenny,,STRING,,ManifestColumn
 chimpanzee,,STRING,,ManifestColumn
 chinese hamster,,STRING,,ManifestColumn
 chinese pangolin,,STRING,,ManifestColumn
 chipping sparrow,,STRING,,ManifestColumn
 chiriquinan serotine,,STRING,,ManifestColumn
 chub mackerel,,STRING,,ManifestColumn
 climbing perch,,STRING,,ManifestColumn
 clouded leopard,,STRING,,ManifestColumn
 coastal tailed frog,,STRING,,ManifestColumn
 common big-eared bat,,STRING,,ManifestColumn
 common bottlenose dolphin,,STRING,,ManifestColumn
 common bream,,STRING,,ManifestColumn
 common brushtail possum,,STRING,,ManifestColumn
 common buzzard,,STRING,,ManifestColumn
 common chaffinch,,STRING,,ManifestColumn
 common crane,,STRING,,ManifestColumn
 common cuckoo,,STRING,,ManifestColumn
 common dab,,STRING,,ManifestColumn
 common dace,,STRING,,ManifestColumn
 common degu,,STRING,,ManifestColumn
 common dolphin,,STRING,,ManifestColumn
 common frog,,STRING,,ManifestColumn
 common goldeneye,,STRING,,ManifestColumn
 common grackle,,STRING,,ManifestColumn
 common gull,,STRING,,ManifestColumn
 common kestrel,,STRING,,ManifestColumn
 common marmoset,,STRING,,ManifestColumn
 common minke whale,,STRING,,ManifestColumn
 common moorhen,,STRING,,ManifestColumn
 common myna,,STRING,,ManifestColumn
 common ostrich,,STRING,,ManifestColumn
 common pipistrelle,,STRING,,ManifestColumn
 common pochard,,STRING,,ManifestColumn
 common rudd,,STRING,,ManifestColumn
 common shrew,,STRING,,ManifestColumn
 common starfish,,STRING,,ManifestColumn
 common starling,,STRING,,ManifestColumn
 common swift,,STRING,,ManifestColumn
 common tern,,STRING,,ManifestColumn
 common toad,,STRING,,ManifestColumn
 common wall lizard,,STRING,,ManifestColumn
 common whitefish,,STRING,,ManifestColumn
 common wood pigeon,,STRING,,ManifestColumn
 common yellowthroat,,STRING,,ManifestColumn
 convict blenny,,STRING,,ManifestColumn
 Cooper's hawk,,STRING,,ManifestColumn
 copperband butterflyfish,,STRING,,ManifestColumn
 corbin's sand eel,,STRING,,ManifestColumn
 cory's shearwater,,STRING,,ManifestColumn
 cotton mouse,,STRING,,ManifestColumn
 coyote,,STRING,,ManifestColumn
 coypu,,STRING,,ManifestColumn
 crab-eating macaque,,STRING,,ManifestColumn
 cretan wall lizard,,STRING,,ManifestColumn
 crucian carp,,STRING,,ManifestColumn
 cuckoo wrasse,,STRING,,ManifestColumn
 cunner,,STRING,,ManifestColumn
 curacao myotis,,STRING,,ManifestColumn
 dalmatian pelican,,STRING,,ManifestColumn
 dalmatian wall lizard,,STRING,,ManifestColumn
 damaraland mole-rat,,STRING,,ManifestColumn
 daubenton's bat,,STRING,,ManifestColumn
 davis's round-eared bat,,STRING,,ManifestColumn
 delta smelt,,STRING,,ManifestColumn
 denticle herring,,STRING,,ManifestColumn
 diamondback terrapin,,STRING,,ManifestColumn
 double-crested cormorant,,STRING,,ManifestColumn
 downy woodpecker,,STRING,,ManifestColumn
 eastern bluebird,,STRING,,ManifestColumn
 eastern chipmunk,,STRING,,ManifestColumn
 eastern cottontail,,STRING,,ManifestColumn
 eastern gray squirrel,,STRING,,ManifestColumn
 eastern happy,,STRING,,ManifestColumn
 eastern mole,,STRING,,ManifestColumn
 eastern narrow-mouthed toad,,STRING,,ManifestColumn
 eastern phoebe,,STRING,,ManifestColumn
 eastern towhee,,STRING,,ManifestColumn
 eastern woodrat,,STRING,,ManifestColumn
 egyptian fruit bat,,STRING,,ManifestColumn
 egyptian goose,,STRING,,ManifestColumn
 electric eel,,STRING,,ManifestColumn
 electron subantarctic lanternfish,,STRING,,ManifestColumn
 epaulette shark,,STRING,,ManifestColumn
 etruscan shrew,,STRING,,ManifestColumn
 eurasian blackcap,,STRING,,ManifestColumn
