Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
program,,True,STRING,,Sage Bionetworks,ManifestColumn,"ELITE,AD"
resourceType,The type of resource being stored and annotated,True,STRING,,Sage Bionetworks,ManifestColumn,"experimentalData,metadata,tool,analysis,computationalNotebook,softwareTool,Not assigned"
contributor,,True,STRING,,Sage Bionetworks,,
displayName,Canonical tool name provided by the tool developer or service provider,True,STRING,,Sage Bionetworks,,
documentation,,True,STRING,,Sage Bionetworks,,
grants,"Grant number associated with the tool's development. Multiple values permitted, comma separated.",True,STRING,,Sage Bionetworks,,
institution,,False,STRING,,Sage Bionetworks,,
isFeatured,,False,BOOLEAN,,,,
project,The ELITE project short name associated with the tool,True,STRING,,Sage Bionetworks,,
summary,Textual description of the tool,True,STRING,,Sage Bionetworks,,
softwareType,,True,STRING,,Sage Bionetworks,,
toolAccessibility,Whether there are non-monetary restrictions on accessing an online service,False,STRING,,biotoolsschema,,
toolCmd,"Relevant command, command-line fragment, or option for executing this function/running the tool in this mode",False,STRING,,biotoolsschema,,
toolComputeRequirements,"Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime)",False,STRING,,schema.org,,
toolCost,Monetary cost of acquiring the software,False,STRING,,biotoolsschema,,
toolDateLastModified,"The date indicating when the tool's entry was most recently modified or updated, providing a timestamp of the latest changes made to the tool's information",False,STRING,,schema.org,,
toolDocumentationNote,Comment about the documentation,False,STRING,,biotoolsschema,,
toolDocumentationType,"Type of documentation that is linked to. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolDocumentationUrl,Link to documentation on the web for the tool,False,STRING,,biotoolsschema,,
toolDoi,The Digital Object Identifier (DOI) associated with the computational tool,True,STRING,,Sage Bionetworks,,
toolDownloadNote,Comment about the download,False,STRING,,biotoolsschema,,
toolDownloadType,"The type of data, information, or system that is obtained when the link is resolved",False,STRING,,biotoolsschema,,
toolDownloadUrl,Link to download (or repo providing a download) for the software,False,STRING,,biotoolsschema,,
toolDownloadVersion,Version information (typically a version number) of the software applicable to this download,False,STRING,,biotoolsschema,,
toolEntityName,Name of the entities that may be credited,False,STRING,,biotoolsschema,,
toolEntityRole,Role performed by entity that is credited e.g. Developer,True,STRING,,biotoolsschema,,
toolEntityType,Types of entities that may be credited e.g. Person,True,STRING,,biotoolsschema,,
toolFunctionNote,"Concise comment about this function, if not apparent from the software description and EDAM annotations",False,STRING,,biotoolsschema,,
toolHomepage,"Homepage of the software, or some URL that best serves this purpose",True,STRING,,biotoolsschema,,
toolInputData,"Type of primary input data. Multiple values permitted, comma separated",True,STRING,,biotoolsschema,,
toolInputFormat,"Allowed format(s) of the input data. Multiple values permitted, comma separated",True,STRING,,biotoolsschema,,
toolLanguage,"Name of programming language the software source code was written in. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolLicense,"Software or data usage license. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolLinkNote,Comment about the link,False,STRING,,biotoolsschema,,
toolLinkType,"The type of data, information or system that is obtained when the link is resolved. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolLinkUrl,A link of some relevance to the software (URL),False,STRING,,biotoolsschema,,
toolOperatingSystem,"The operating system supported by a downloadable software package. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolOperation,"The basic operation(s) performed by this software function. Multiple values permitted, comma separated",True,STRING,,biotoolsschema,,
toolOutputData,"Type of primary output data. Multiple values permitted, comma separated",True,STRING,,biotoolsschema,,
toolOutputFormat,"Allowed format(s) of the output data. Multiple values permitted, comma separated",True,STRING,,biotoolsschema,,
toolPackageDependencies,"Specifies the software libraries, frameworks, or other components that a tool or package relies on for its proper functioning. This attribute helps users understand the prerequisites needed for installation and usage of the tool within a given computational environment",False,STRING,,CWL,,
toolPackageDependenciesPresent,Indicates whether the required package dependencies for tool are present,True,BOOLEAN,,CWL,,
toolPubmedId,The pubMed identifer associated with the development of the tool,False,STRING,,Sage Bionetworks,,
toolReleaseDate,The release date of a product or product model. This can be used to distinguish the exact variant of a product,True,STRING,,schema.org,,
toolTopic,"General scientific domain the software serves, or other general category. Multiple values permitted, comma separated",False,STRING,,biotoolsschema,,
toolType,"A type of application software: a discrete software entity can have more than one type. Multiple values permitted, comma separated",True,STRING,,Sage Bionetworks,,
toolVersion,Version information (typically a version number) of the software applicable to this entry,False,STRING,,biotoolsschema,,
