Key,Key Description,columnType,Source,Parent
Clinical Care Use,,STRING_LIST,,
Collaboration Required,,STRING_LIST,,
Disease Specific Research,,STRING_LIST,,
Ethics Approval Required,,STRING_LIST,,
General Research Use,,STRING_LIST,,
Genetic Studies Only,,STRING_LIST,,
Geographical Restriction,,STRING_LIST,,
Health or Medical or Biomedical Research,,STRING_LIST,,
Institution Specific Restriction,,STRING_LIST,,
No General Methods Research,,STRING_LIST,,
No Restriction,,STRING_LIST,,
Non-Commercial Use Only,,STRING_LIST,,
Not-for-Profit Non-Commercial Use Only,,STRING_LIST,,
Not-for-Profit Organisation Use Only,,STRING_LIST,,
Population Origins or Ancestry Research Only,,STRING_LIST,,
Population Origins or Ancestry Research Prohibited,,STRING_LIST,,
Project Specific Restriction,,STRING_LIST,,
Publication Moratorium,,STRING_LIST,,
Publication Required,,STRING_LIST,,
Research Specific Restrictions,,STRING_LIST,,
Return to Database or Resource,,STRING_LIST,,
Time Limit on Use,,STRING_LIST,,
User Specific Restriction,,STRING_LIST,,
