Key,Key Description,columnType,Source,Parent
FASTQ,,STRING,,ManifestColumn
 FASTA,,STRING,,ManifestColumn
 SAM,,STRING,,ManifestColumn
 BAM,,STRING,,ManifestColumn
 CRAM,,STRING,,ManifestColumn
 VCF,,STRING,,ManifestColumn
 BCF,,STRING,,ManifestColumn
 GTF,,STRING,,ManifestColumn
 GFF,,STRING,,ManifestColumn
 GFF3,,STRING,,ManifestColumn
 BED,,STRING,,ManifestColumn
 BigBed,,STRING,,ManifestColumn
 WIG,,STRING,,ManifestColumn
 BigWig,,STRING,,ManifestColumn
 CSV,,STRING,,ManifestColumn
 TSV,,STRING,,ManifestColumn
 MTX,,STRING,,ManifestColumn
 H5AD,,STRING,,ManifestColumn
 LOOM,,STRING,,ManifestColumn
 RDS,,STRING,,ManifestColumn
PED,,STRING,,ManifestColumn
 MAP,,STRING,,ManifestColumn
 BED_PLINK,,STRING,,ManifestColumn
 TPED,,STRING,,ManifestColumn
 TFAM,,STRING,,ManifestColumn
 BEDGRAPH,,STRING,,ManifestColumn
 NARROWPEAK,,STRING,,ManifestColumn
 BROADPEAK,,STRING,,ManifestColumn
 TAGALIGN,,STRING,,ManifestColumn
 OME-TIFF,,STRING,,ManifestColumn
 ND2,,STRING,,ManifestColumn
 CZI,,STRING,,ManifestColumn
 LSM,,STRING,,ManifestColumn
 H5,,STRING,,ManifestColumn
 HDF5,,STRING,,ManifestColumn
 PARQUET,,STRING,,ManifestColumn
 PDB,,STRING,,ManifestColumn
 MMCIF,,STRING,,ManifestColumn
 JSON,,STRING,,ManifestColumn
 YAML,,STRING,,ManifestColumn
 XML,,STRING,,ManifestColumn
 TXT,,STRING,,ManifestColumn
 XLSX,,STRING,,ManifestColumn
 CSV,,STRING,,ManifestColumn
 Not assigned,,STRING,,ManifestColumn
