Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
ModelSystemType,Type of model system,False,BOOLEAN,,Sage Bionetworks,ManifestColumn,"animal, cerebral organoid, immortalized cell line, iPSC, organoid, primary cell culture, Not assigned"
isModelSystem,Boolean flag indicating whether or not a file has data from a model system,True,BOOLEAN,,Sage Bionetworks,ManifestColumn,"True, False, Not assigned"
analysisType,Type of analysis,False,STRING,,Sage Bionetworks,ManifestColumn,"ANOVA,batch effect correction,clustering,data normalization,de-novo assembly,dose response study,enrichment analysis,genome-wide association,mendelian randomization analysis,network analysis,polygenic risk scores, Not assigned"
consortium,The name of the consortium,True,STRING,,Sage Bionetworks,ManifestColumn,"ELITE, ELITE CDCP, Not assigned"
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata",True,STRING,,Sage Bionetworks,ManifestColumn,"raw,processed,results,normalized,metadata, Not assigned"
dataType,,True,STRING,,Sage Bionetworks,ManifestColumn,"clinical,drugScreen,electrophysiology,epigenetics,geneExpression,genomeAssembly,genomicVariants,imaging,lipidomics,metabolomics,metagenomics,Not applicable,Not collected,Not specified,Other,phenotype,proteomics,Unknown,wearableData"
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",True,STRING,,Sage Bionetworks,ManifestColumn,"FASTQ, FASTA, SAM, BAM, CRAM, VCF, BCF, GTF, GFF, GFF3, BED, BigBed, WIG, BigWig, CSV, TSV, MTX, H5AD, LOOM, RDS,PED, MAP, BED_PLINK, TPED, TFAM, BEDGRAPH, NARROWPEAK, BROADPEAK, TAGALIGN, OME-TIFF, ND2, CZI, LSM, H5, HDF5, PARQUET, PDB, MMCIF, JSON, YAML, XML, TXT, XLSX, CSV, Not assigned"
projectShortName,,True,STRING,,Sage Bionetworks,ManifestColumn,"LC,ILO,LLFS,LG, Not assigned"
resourceType,The type of resource being stored and annotated,True,STRING,,Sage Bionetworks,ManifestColumn,"experimentalData,metadata,tool,analysis,computationalNotebook, Not assigned"
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,STRING,,,ManifestColumn,"Amphibian,Bird,Fish,Invertebrate,Mammal,Not applicable,Not collected,Not specified,Reptile,Unknown"
