Key,Key Description,columnType,Source,Parent
AD,,STRING_LIST,,
 AE,,STRING_LIST,,
 AF,,STRING_LIST,,
 AG,,STRING_LIST,,
 AI,,STRING_LIST,,
 AL,,STRING_LIST,,
 AM,,STRING_LIST,,
 AO,,STRING_LIST,,
 AQ,,STRING_LIST,,
 AR,,STRING_LIST,,
 AS,,STRING_LIST,,
 AT,,STRING_LIST,,
 AU,,STRING_LIST,,
 AW,,STRING_LIST,,
 AX,,STRING_LIST,,
 AZ,,STRING_LIST,,
 BA,,STRING_LIST,,
 BB,,STRING_LIST,,
 BD,,STRING_LIST,,
 BE,,STRING_LIST,,
 BF,,STRING_LIST,,
 BG,,STRING_LIST,,
 BH,,STRING_LIST,,
 BI,,STRING_LIST,,
 BJ,,STRING_LIST,,
 BL,,STRING_LIST,,
 BM,,STRING_LIST,,
 BN,,STRING_LIST,,
 BO,,STRING_LIST,,
 BQ,,STRING_LIST,,
 BR,,STRING_LIST,,
 BS,,STRING_LIST,,
 BT,,STRING_LIST,,
 BV,,STRING_LIST,,
 BW,,STRING_LIST,,
 BY,,STRING_LIST,,
 BZ,,STRING_LIST,,
 CA,,STRING_LIST,,
 CC,,STRING_LIST,,
 CD,,STRING_LIST,,
 CF,,STRING_LIST,,
 CG,,STRING_LIST,,
 CH,,STRING_LIST,,
 CI,,STRING_LIST,,
 CK,,STRING_LIST,,
 CL,,STRING_LIST,,
 CM,,STRING_LIST,,
 CN,,STRING_LIST,,
 CO,,STRING_LIST,,
 CR,,STRING_LIST,,
 CU,,STRING_LIST,,
 CV,,STRING_LIST,,
 CW,,STRING_LIST,,
 CX,,STRING_LIST,,
 CY,,STRING_LIST,,
 CZ,,STRING_LIST,,
 DE,,STRING_LIST,,
 DJ,,STRING_LIST,,
 DK,,STRING_LIST,,
 DM,,STRING_LIST,,
 DO,,STRING_LIST,,
 DZ,,STRING_LIST,,
 EC,,STRING_LIST,,
 EE,,STRING_LIST,,
 EG,,STRING_LIST,,
 EH,,STRING_LIST,,
 ER,,STRING_LIST,,
 ES,,STRING_LIST,,
 ET,,STRING_LIST,,
 FI,,STRING_LIST,,
 FJ,,STRING_LIST,,
 FK,,STRING_LIST,,
 FM,,STRING_LIST,,
 FO,,STRING_LIST,,
 FR,,STRING_LIST,,
 GA,,STRING_LIST,,
 GB,,STRING_LIST,,
 GD,,STRING_LIST,,
 GE,,STRING_LIST,,
 GF,,STRING_LIST,,
 GG,,STRING_LIST,,
 GH,,STRING_LIST,,
 GI,,STRING_LIST,,
 GL,,STRING_LIST,,
 GM,,STRING_LIST,,
 GN,,STRING_LIST,,
 GP,,STRING_LIST,,
 GQ,,STRING_LIST,,
 GR,,STRING_LIST,,
 GS,,STRING_LIST,,
 GT,,STRING_LIST,,
 GU,,STRING_LIST,,
 GW,,STRING_LIST,,
 GY,,STRING_LIST,,
 HK,,STRING_LIST,,
 HM,,STRING_LIST,,
 HN,,STRING_LIST,,
 HR,,STRING_LIST,,
 HT,,STRING_LIST,,
 HU,,STRING_LIST,,
 ID,,STRING_LIST,,
 IE,,STRING_LIST,,
 IL,,STRING_LIST,,
 IM,,STRING_LIST,,
 IN,,STRING_LIST,,
 IO,,STRING_LIST,,
