Key,Key Description,columnType,Source,Parent
amplicon,,STRING,,ManifestColumn
 cellHashing,,STRING,,ManifestColumn
 Chromium Single Cell 3',,STRING,,ManifestColumn
 DNALibraryConstruction,,STRING,,ManifestColumn
 EndItDNAEndRepairKit,,STRING,,ManifestColumn
 KapaHyperPrep,,STRING,,ManifestColumn
 lncRNAenrichment,,STRING,,ManifestColumn
 methylSeq,,STRING,,ManifestColumn
 miRNAenrichment,,STRING,,ManifestColumn
 multiome,,STRING,,ManifestColumn
 MULTIseq,,STRING,,ManifestColumn
 PCRfree,,STRING,,ManifestColumn
 polyAselection,,STRING,,ManifestColumn
 proximity ligation,,STRING,,ManifestColumn
 rRNAdepletion,,STRING,,ManifestColumn
 snIsoSeq,,STRING,,ManifestColumn
 SPLITseq,,STRING,,ManifestColumn
 STARRSeq,,STRING,,ManifestColumn
 SureCell,,STRING,,ManifestColumn
 totalRNA,,STRING,,ManifestColumn
 Unknown,,STRING,,ManifestColumn
 Not collected,,STRING,,ManifestColumn
 Not applicable,,STRING,,ManifestColumn
 Not specified,,STRING,,ManifestColumn
