Key,Key Description,columnType,Source,Parent
CC BY-NC,,STRING_LIST,,
CC BY-NC 4.0,,STRING_LIST,,
CC BY-NC 3.0,,STRING_LIST,,
CC BY-NC 2.5,,STRING_LIST,,
CC BY-NC 2.0,,STRING_LIST,,
CC BY-NC 1.0,,STRING_LIST,,
CC BY-NC-ND,,STRING_LIST,,
CC BY-NC-ND 4.0,,STRING_LIST,,
CC BY-NC-ND 3.0,,STRING_LIST,,
CC BY-NC-ND 2.5,,STRING_LIST,,
CC BY-NC-ND 2.0,,STRING_LIST,,
CC BY-NC-ND 1.0,,STRING_LIST,,
CC BY-NC-SA,,STRING_LIST,,
CC BY-NC-SA 4.0,,STRING_LIST,,
CC BY-NC-SA 3.0,,STRING_LIST,,
CC BY-NC-SA 2.5,,STRING_LIST,,
CC BY-NC-SA 2.0,,STRING_LIST,,
CC BY-NC-SA 1.0,,STRING_LIST,,
CC BY-ND,,STRING_LIST,,
CC BY-ND 4.0,,STRING_LIST,,
CC BY-ND 3.0,,STRING_LIST,,
CC BY-ND 2.5,,STRING_LIST,,
CC BY-ND 2.0,,STRING_LIST,,
CC BY-ND 1.0,,STRING_LIST,,
CC BY-SA,,STRING_LIST,,
CC BY-SA 4.0,,STRING_LIST,,
CC BY-SA 3.0,,STRING_LIST,,
CC BY-SA 2.5,,STRING_LIST,,
CC BY-SA 2.0,,STRING_LIST,,
CC BY-SA 1.0,,STRING_LIST,,
CC-0,,STRING_LIST,,
CC0 1.0,,STRING_LIST,,
CC-BY,,STRING_LIST,,
CC-BY 4.0,,STRING_LIST,,
CC-BY 3.0,,STRING_LIST,,
CC-BY 2.5,,STRING_LIST,,
CC-BY 2.0,,STRING_LIST,,
CC-BY 1.0,,STRING_LIST,,
ODC-BY,,STRING_LIST,,
ODC-BY 1.0,,STRING_LIST,,
ODC-ODbL,,STRING_LIST,,
ODC-ODbL 1.0,,STRING_LIST,,
ODC-PDDL,,STRING_LIST,,
ODC-PDDL 1.0,,STRING_LIST,,
Public Domain,,STRING_LIST,,
UNKNOWN,,STRING_LIST,,
