Key,Key Description,columnType,Source,Parent
Bisulfite sequencing,,STRING,,ManifestColumn
Clinical data,,STRING,,ManifestColumn
Genome-wide association study,,STRING,,ManifestColumn
High-performance liquid chromatography tandem mass spectrometry,,STRING,,ManifestColumn
Liquid chromatography mass spectrometry,,STRING,,ManifestColumn
Liquid chromatography tandem mass spectrometry,,STRING,,ManifestColumn
Mass spectrometry,,STRING,,ManifestColumn
Metabolomics,,STRING,,ManifestColumn
MetaX-processed metabolomics data,,STRING,,ManifestColumn
Proximity extension assay,,STRING,,ManifestColumn
RNA sequencing,,STRING,,ManifestColumn
Single-cell RNA sequencing,,STRING,,ManifestColumn
Shotgun metagenomic sequencing,,STRING,,ManifestColumn
Single nucleotide polymorphism array,,STRING,,ManifestColumn
Tandem Mass Tag proteomics,,STRING,,ManifestColumn
Whole-genome sequencing,,STRING,,ManifestColumn
Unknown,,STRING,,ManifestColumn
Other,,STRING,,ManifestColumn
Not collected,,STRING,,ManifestColumn
Not applicable,,STRING,,ManifestColumn
Not specified,,STRING,,ManifestColumn
