Key,Key Description,columnType,Source,Parent
Acomys cahirinus,,STRING,,ManifestColumn
 Acomys russatus,,STRING,,ManifestColumn
 Accipiter cooperii,,STRING,,ManifestColumn
 Actitis macularius,,STRING,,ManifestColumn
 Aix sponsa,,STRING,,ManifestColumn
 Anas acuta,,STRING,,ManifestColumn
 Anas carolinensis,,STRING,,ManifestColumn
 Anas platyrhynchos,,STRING,,ManifestColumn
 Antigone canadensis,,STRING,,ManifestColumn
 Archilochus colubris,,STRING,,ManifestColumn
 Artibeus jamaicensis,,STRING,,ManifestColumn
 Baeolophus bicolor,,STRING,,ManifestColumn
 Balaena mysticetus,,STRING,,ManifestColumn
 Blarina brevicauda,,STRING,,ManifestColumn
 Bombycilla cedrorum,,STRING,,ManifestColumn
 Bonasa umbellus,,STRING,,ManifestColumn
 Bos taurus,,STRING,,ManifestColumn
 Branta canadensis,,STRING,,ManifestColumn
 Bubo virginianus,,STRING,,ManifestColumn
 Buteo jamaicensis,,STRING,,ManifestColumn
 Buteo lineatus,,STRING,,ManifestColumn
 Canis latrans,,STRING,,ManifestColumn
 Cardinalis cardinalis,,STRING,,ManifestColumn
 Castor canadensis,,STRING,,ManifestColumn
 Cavia porcellus,,STRING,,ManifestColumn
 Charadrius vociferus,,STRING,,ManifestColumn
 Chinchilla lanigera,,STRING,,ManifestColumn
 Columba livia,,STRING,,ManifestColumn
 Condylura cristata,,STRING,,ManifestColumn
 Corvus brachyrhynchos,,STRING,,ManifestColumn
 Cricetomys ansorgei,,STRING,,ManifestColumn
 Cricetulus barabensis,,STRING,,ManifestColumn
 Cricetulus griseus,,STRING,,ManifestColumn
 Cryptomys damarensis,,STRING,,ManifestColumn
 Cuniculus paca,,STRING,,ManifestColumn
 Cyanocitta cristata,,STRING,,ManifestColumn
 Cygnus olor,,STRING,,ManifestColumn
 Dryobates pubescens,,STRING,,ManifestColumn
 Dumetella carolinensis,,STRING,,ManifestColumn
 Ellobius lutescens,,STRING,,ManifestColumn
 Ellobius talpinus,,STRING,,ManifestColumn
 Eonycteris spelaea,,STRING,,ManifestColumn
 Eptesicus fuscus,,STRING,,ManifestColumn
 Equus caballus,,STRING,,ManifestColumn
 Eremophila alpestris,,STRING,,ManifestColumn
 Fukomys damarensis,,STRING,,ManifestColumn
 Haemorhous mexicanus,,STRING,,ManifestColumn
 Heterocephalus glaber,,STRING,,ManifestColumn
 Hirundo rustica,,STRING,,ManifestColumn
 Homo sapiens,,STRING,,ManifestColumn
 Hydrochoerus hydrochaeris,,STRING,,ManifestColumn
 Hydroprogne caspia,,STRING,,ManifestColumn
 Hylocichla mustelina,,STRING,,ManifestColumn
 Icteria virens,,STRING,,ManifestColumn
 Larus argentatus,,STRING,,ManifestColumn
 Larus delawarensis,,STRING,,ManifestColumn
 Macaca fascicularis,,STRING,,ManifestColumn
 Macaca mulatta,,STRING,,ManifestColumn
 Mareca strepera,,STRING,,ManifestColumn
 Marmota monax,,STRING,,ManifestColumn
 Melanerpes carolinus,,STRING,,ManifestColumn
 Meleagris gallopavo,,STRING,,ManifestColumn
 Melospiza melodia,,STRING,,ManifestColumn
 Meriones unguiculatus,,STRING,,ManifestColumn
 Mesocricetus auratus,,STRING,,ManifestColumn
 Microtus pennsylvanicus,,STRING,,ManifestColumn
 Mimus polyglottos,,STRING,,ManifestColumn
 Molothrus ater,,STRING,,ManifestColumn
 Multi-species,,STRING,,ManifestColumn
 Mus musculus,,STRING,,ManifestColumn
 Myocastor coypus,,STRING,,ManifestColumn
 Myotis lucifugus,,STRING,,ManifestColumn
 Nannospalax galili,,STRING,,ManifestColumn
 Neosciurus carolinensis,,STRING,,ManifestColumn
 Neotoma cinerea,,STRING,,ManifestColumn
 Neotoma floridana,,STRING,,ManifestColumn
 Not applicable,,STRING,,ManifestColumn
 Not collected,,STRING,,ManifestColumn
 Not provided,,STRING,,ManifestColumn
 Not specified,,STRING,,ManifestColumn
 Octodon degus,,STRING,,ManifestColumn
 Odocoileus virginianus,,STRING,,ManifestColumn
 Ondatra zibethicus,,STRING,,ManifestColumn
 Other,,STRING,,ManifestColumn
 Pan troglodytes,,STRING,,ManifestColumn
 Papio anubis,,STRING,,ManifestColumn
 Passer domesticus,,STRING,,ManifestColumn
 Passerina caerulea,,STRING,,ManifestColumn
 Passerina cyanea,,STRING,,ManifestColumn
 Peromyscus gossypinus,,STRING,,ManifestColumn
 Peromyscus leucopus,,STRING,,ManifestColumn
 Peromyscus maniculatus,,STRING,,ManifestColumn
 Phalacrocorax auritus,,STRING,,ManifestColumn
 Phasianus colchicus,,STRING,,ManifestColumn
 Picoides villosus,,STRING,,ManifestColumn
 Pipilo erythrophthalmus,,STRING,,ManifestColumn
 Poecile carolinensis,,STRING,,ManifestColumn
 Quiscalus quiscula,,STRING,,ManifestColumn
 Rattus norvegicus,,STRING,,ManifestColumn
 Rattus rattus,,STRING,,ManifestColumn
 Regulus calendula,,STRING,,ManifestColumn
 Saimiri boliviensis,,STRING,,ManifestColumn
 Sayornis phoebe,,STRING,,ManifestColumn
 Scalopus aquaticus,,STRING,,ManifestColumn
 Sciurus carolinensis,,STRING,,ManifestColumn
 Sciurus niger,,STRING,,ManifestColumn
 Sciurus vulgaris,,STRING,,ManifestColumn
 Scolopax minor,,STRING,,ManifestColumn
 Setophaga citrina,,STRING,,ManifestColumn
 Setophaga coronata,,STRING,,ManifestColumn
 Setophaga dominica,,STRING,,ManifestColumn
 Setophaga petechia,,STRING,,ManifestColumn
 Setophaga pinus,,STRING,,ManifestColumn
 Sialia sialis,,STRING,,ManifestColumn
 Sigmodon hispidus,,STRING,,ManifestColumn
 Sitta carolinensis,,STRING,,ManifestColumn
 Spatula clypeata,,STRING,,ManifestColumn
 Spinus tristis,,STRING,,ManifestColumn
 Spizella passerina,,STRING,,ManifestColumn
 Spizella pusilla,,STRING,,ManifestColumn
 Spizelloides arborea,,STRING,,ManifestColumn
 Struthio camelus,,STRING,,ManifestColumn
 Sturnus vulgaris,,STRING,,ManifestColumn
 Sus scrofa,,STRING,,ManifestColumn
