Key,Key Description,columnType,Source,Parent
blood,,STRING_LIST,,ManifestColumn
 brain,,STRING_LIST,,ManifestColumn
 buffy coat,,STRING_LIST,,ManifestColumn
 cell line,,STRING_LIST,,ManifestColumn
 cells,,STRING_LIST,,ManifestColumn
 nervous system,,STRING_LIST,,ManifestColumn
 organoid,,STRING_LIST,,ManifestColumn
 plasma,,STRING_LIST,,ManifestColumn
 saliva,,STRING_LIST,,ManifestColumn
 serum,,STRING_LIST,,ManifestColumn
 skin,,STRING_LIST,,ManifestColumn
 stool,,STRING_LIST,,ManifestColumn
 tissue,,STRING_LIST,,ManifestColumn
 urine,,STRING_LIST,,ManifestColumn
 Not applicable,,STRING_LIST,,ManifestColumn
 Not collected,,STRING_LIST,,ManifestColumn
 Not specified,,STRING_LIST,,ManifestColumn
 Other,,STRING_LIST,,ManifestColumn
 Unknown,,STRING_LIST,,ManifestColumn
