Key,Key Description,Valid Values,columnType,Parent,module
assay_RNAseq_annotation_template,Template for file-based RNAseq,,,Component,template
assay_RNAseq_template,Template for RNAseq,,,Component,template
assay_bsSeq_annotation_template,Template for file-based bsSeq annotations,,,Component,template
assay_bsSeq_template,Template for bsSeq,,,Component,template
assay_genotyping_annotation_template,Template for file-based Genotyping annotations,,,Component,template
assay_metabolomics_annotation_template,Template for file-based Metabolomics annotations,,,Component,template
assay_metabolomics_template,Template for Metabolomics,,,Component,template
assay_metagenomics_annotation_template,Template for file-based Metagenomics annotations,,,Component,template
assay_metagenomics_template,Template for Metagenomics,,,Component,template
assay_microbiome_annotation_template,Template for file-based Microbiome annotations,,,Component,template
assay_microbiome_template,Template for Microbiome,,,Component,template
assay_phenotype_human_template,Template for Phenotype_human,,,Component,template
assay_proteomics_annotation_template,Template for file-based Proteomics annotations,,,Component,template
assay_proteomics_template,Template for Proteomics,,,Component,template
assay_scRNAseq_annotation_template,Template for file-based scRNAseq annotations,,,Component,template
assay_scRNAseq_template,Template for scRNAseq,,,Component,template
assay_whole_genome_sequencing_annotation_template,Template for file-based Whole Genome Sequencing annotations,,,Component,template
assay_whole_genome_sequencing_template,Template for Whole_Genome_Sequencing,,,Component,template
biospecimen_human_template,Template for Biospecimen_human,,,Component,template
biospecimen_non_human_template,Template for Biospecimen_non_Human,,,Component,template
computational_tools_template,Annotations for computational tools on the ELITE Portal,,,Component,template
dataset_template,Annotations for datasets on the ELITE Portal,,,Component,template
file_annotation_template,Base annotations for files in synapse,,,Component,template
genotyping_human_template,Template for Genotyping_Human,,,Component,template
individual_human_template,Template for Individual_Human,,,Component,template
individual_non_human_template,Template for Individual_non_Human,,,Component,template
study_folder_template,Annotations for study folders,,,Component,template
