,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
0,Affymetrix Genome-Wide Human SNP 6.0 Array,,,,,False,ValidValue,,,,Assay,,
1,Affymetrix Human Gene 1.0 ST Array,,,,,False,ValidValue,,,,Assay,,
2,Affymetrix Human Genome U133 Plus 2.0 Array,,,,,False,ValidValue,,,,Assay,,
3,Affymetrix U133AB,,,,,False,ValidValue,,,,Assay,,
4,DNA,,,,,False,ValidValue,,,,Assay,,
5,DNALibraryConstruction,,,,,False,ValidValue,,,,Assay,,
6,Drop-Seq,,,,,False,ValidValue,,,,Assay,,
7,acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
8,acquisitionBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,,Assay,,
9,acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherAcquisitionBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Assay,,
10,batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
11,batchLabel,Used to supply batch label information with any string value,,,,False,DataProperty,,http://purl.obolibrary.org/obo/MS_4000088,,Assay,,
12,directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"TRUE,FALSE,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Assay,,
13,dnaBatchID,DNA isolation batch,"Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Assay,,
14,dnaBatchSize,The number of samples,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
15,dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherDnaBatchSizeUnit",,,True,DataProperty,,Sage Bionetworks,,Assay,,
16,isStranded,Whether or not the library is stranded.,"TRUE,FALSE",,,True,DataProperty,,Sage Bionetworks,,Assay,str,
17,libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,DataProperty,,Sage Bionetworks,,Assay,,
18,libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,OtherLibraryPrep,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
19,libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,OtherLibraryPreparationMethod,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
20,libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherLibraryVersion,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
21,platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","OtherPlatformLocation,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
22,processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
23,processingBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,,Assay,,
24,processingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherProcessingBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Assay,,
25,readLength,The length of the read,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
