,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
0,Component,"Category of metadata (e.g., Study, Individual, Biospecimen, Data File)",,,,,,,,
1,Study,,,"Component, Study Code, Study Abbreviation,Study Name,Study Description,Methods Description,Acknowledgment Statement, Project,Program,Grant Number",,,,,,
2,Study Code,"Unique identifier for the study, assigned by the DCC","Longevity Consortium (LC),Longevity Genomics (LG),Integrative Longevity Omics (ILO),Long Life Family Study (LLFS)",,,TRUE,Study,,,
3,Study Abbreviation,"Abbreviation for the study, assigned by the data contributor",,,,TRUE,Study,,,
4,Study Name,"Name of the study, chosen by the data contributor",,,,TRUE,Study,,,
5,Study Description,Description as worded by the data contributor - this will be displayed in the portal,,,,TRUE,Study,,,
6,Methods Description,Description as worded by the data contributor - this will be displayed in the portal,,,,TRUE,Study,,,
7,Acknowledgement Statement,Description as worded by the data contributor - this will be displayed in the portal,,,,TRUE,Study,,,
8,Project ,Name of the project or cohort the study belongs to,,,,TRUE,Study,,,
9,Program,The funding source for the study,,,,TRUE,Study,,,
10,Grant Number,The grant number the study is associated with,,,,TRUE,Study,,,
11,Individual,,,"Study Code,Individual ID,External ID,Field Center Code,Visit Code,Country Code,Data Contribution Group,Species Code,Family ID,Father ID,Mother ID,MZ Twin ID,Sex,Race,Ethnicity,Age,Height,BMI,Years Smoked,Exercise Activity",,,,"Study, Data File",,
12,Individual ID,"Unique identifier for the individual, assigned by the DCC",,,,TRUE,Individual,,,
13,External ID,"Unique identifier for the individual, assigned by the data contributor (e.g. a subject ID)",,,,TRUE,Individual,,,
14,Field Center Code,Name of the field center,,,,FALSE,Individual,,,
15,Visit Code,Indicate the visit status for the individual,,,,FALSE,Individual,,,
16,Country Code,Indicate the geographic region for the individual,,,,FALSE,Individual,,,
17,Data Contribution Group,Identifier assigned to a data contributor,,,,FALSE,Individual,,,
18,Consent Group ID,Indicate the consent group for the individual,,,,FALSE,Individual,,,
19,Species Code,Indicate for the species to which the individual belongs,"Human,Rodent,Bird,Mammal,Primate",,,TRUE,Individual,,,
20,Family ID,Unique identifier for the family to which the individual belongs,,,,FALSE,Individual,,,
21,Father ID,Individual ID for Individual's father,,,,FALSE,Individual,,,
22,Mother ID,Individual ID for Individual's mother,,,,FALSE,Individual,,,
23,MZ Twin ID,Monozygotic Twin ID,,,,FALSE,Individual,,,
24,Sex,Sex of individual,"Male,Female,Other,Unknown",,,TRUE,Individual,,,
25,Race,Race of individual,"White,Black or African American,Asian,More than one race,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Other,Prefer not to answer,Unknown",,,TRUE,Individual,,,
26,Ethnicity,Ethnicity of individual,"Not Hispanic or Latino, Hispanic or Latino, Prefer not to answer,Unknown",,,TRUE,Individual,,,
27,Age,Age in days at last clinic/home visit,,,,TRUE,Individual,,,
28,Height,Average Stand Height in cm collected at last visit,,,,FALSE,Individual,,,
29,BMI,Derived BMI (kg/m**2),,,,FALSE,Individual,,,
30,Years smoked,# Packs/day * yrs smoke(d),,,,FALSE,Individual,,,
31,Excercise Activity,Level of weekly physical exercise ,,,,FALSE,Individual,,,
32,Condition,,,"Component,Study Code,Individual ID,Diagnosis Status,Condition Source,HPO Label,HPO Code,MONDO Label,MONDO Code,MAXO Label,MAXO Code,Other Label,Other Code",,,,"Individual,Study",,
33,Diagnosis Status,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed","True,False",,,FALSE,Condition,,,
34,Condition Source,Whether condition information was obtained from medical records (Clinical) or patient survey (Self-Reported),"Clinical,Self-Reported",Diagnosis Status,,FALSE,Condition,,,
35,HPO Label,Label for condition in the Human Phenotype Ontology (HPO),,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/ontologies/hp,
36,HPO Code,Code for condition in the Human Phenotype Ontology (HPO),,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/ontologies/hp,
37,MONDO Label,Label for condition in the Mondo Disease Ontology (MONDO),,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/ontologies/mondo,
38,MONDO Code,Code for condition in the Mondo Disease Ontology (MONDO),,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/ontologies/mondo,
39,MAXO Label,Label for condition in the Medical Action Ontology (MAXO),,Diagnosis Status,,FALSE,Condition,,	https://www.ebi.ac.uk/ols/ontologies/maxo,
40,MAXO Code,Code for condition in the Medical Action Ontology (MAXO),,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/ontologies/maxo,
41,Other Label,"Label for condition in another ontology (if no match in HPO, MONDO, or MAXO)",,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/index,
42,Other Code,"Code for condition in another ontology (if no match in HPO, MONDO, or MAXO)",,Diagnosis Status,,FALSE,Condition,,https://www.ebi.ac.uk/ols/index,
43,Biospecimen,,,"Component,Individual ID,Specimen ID,Specimen Source,Specimen Type,Specimen Age,Parent Specimen ID,Parent Specimen Type,Laboratory Procedure",,,,"Study, Individual,Data File",,
44,Specimen ID,Unique identifier for the specimen or sample,,,,TRUE,Biospecimen,,,
45,Specimen Source,"The repository or database to which a specimenID maps; or, the group or lab that generated the specimen. For cell culture studies, the commercial source or lab that generated the cells",,,,TRUE,Biospecimen,,,
46,Specimen Type,Type of biological material comprising the Specimen,"blood,urine,saliva,stool,serum,tissue,swabs,sputum,Cerebrospinal Fluid (CSF),organoid,",,,TRUE,Biospecimen,,,
47,Specimen Age,Age in days of individual at time of biospecimen collection,,,,TRUE,Biospecimen,,,
48,Parent Specimen ID,"Unique identifier for the direct Parent from which the Specimen was derived, processed, pooled, etc. (if applicable)",,,,FALSE,Biospecimen,,,
49,Parent Specimen Type,Type of biological material comprising the Parent Specimen (if applicable),,Parent Specimen ID,,FALSE,Biospecimen,,,
50,Laboratory Procedure,Procedure by which the Specimen was derived from Parent Specimen (if applicable),,Parent Specimen ID,,FALSE,Biospecimen,,,
51,Data File ,,,"Component,Individual ID,Specimen ID,File ID,Consent Code,Data Access,Original File Name,Filename,Data Category,Data Type,Experimental Strategy,Access URL,Format,Type,Size",,,,"Study,Individual,Biospecimen",,
52,File ID,"File identifier, assigned by the DCC",,,,FALSE,Data file,,,
53,Consent Code,"Code identifying level of consent, assigned by the DCC",,,,FALSE,Data file,,,
54,Data Access,"Type of access control on this file, determined by the DCC","IRB Approval,Controlled,Registered, Open",,,FALSE,Data file,,,
55,Original File Name,"Name of file, assigned by data contributor",,,,TRUE,,,,
56,Filename,Synapse ID for file,,,,TRUE,Data file,,,
57,Data Category,General category of data in file,"Clinical, Genomics, Proteomics, Metabolomics, Lipidomics,Immune profiling, Transcriptomics, Methylomics,Metagenomics,Epigenetics,Pharmacology,",,,TRUE,Data file,,,
58,Data Type,Specific type of data contained in file,"Gene expression, Gene fusions, Genomic variants,SNP Array,Analysis,",,,FALSE,Data file,,,
59,Experimental Strategy,Experimental method used to obtain data in file,"Whole genome sequencing, Whole exome sequencing,RNAseq, scRNAseq,bulk RNAseq,16s rRNA sequencing,Whole genome bisulfite sequencing,Mass spec proteomics, Mass spec metabolomics,",,,FALSE,Data file,,,
60,Access URL,Storage location for this file,,,,FALSE,Data file,,,
61,Format,Format of file,"csv,tsv, cram, gvcf, vcf, maf, txt, pdf, html, png",,,TRUE,Data file,,,
62,Type,Type of file,"Multi-specimen,Multi-individual,",,,TRUE,Data file,,,
63,Size,Size of file,,,,FALSE,Data file,,,
64,Metadata Template,,,"Component,Individual ID,Specimen ID, File ID,",,,,"Study,Individual,Biospecimen,Data File",,
65,Template Name,Name of the metadata template used,"Clinical,Individual,Biospecimen,WGS,WES,WGBS,Metabolomics,Proteomics,scRNAseq,","Data Category,Experimental Strategy,",,TRUE,Metadata Template,,,
