Attribute,Description,Valid Values,Required,Module,multivalue,columnType,ontology,term id,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
assay,The analysis or technology used to generate the data in this file,,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
Biospecimen_non_Human_Attribute,Template for Biospecimen_non_Human_Attribute,,False,Template,,,,,Sage Bionetworks,,,,"Filename,individualID,specimenID,specimenType,assay,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component",Component
cellType,Indicate the cell type.,CCF-BSO values (not listed for purposes of this RFC),True,Biospecimen,False,STRING,CCF Biological Structure (CCF-BSO) ontology,,https://www.ebi.ac.uk/ols/ontologies/ccf/terms?iri=http%3A%2F%2Fpurl.org%2Fccf%2Fcell_type,,ManifestColumn,Biospecimen_non_Human_Attribute,,
fastingState,Was individual fasting when the sample was taken (true/false)?,"True,False,,Uknown",True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,True,"Individual, Biospecimen",False,STRING,,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
isPostMortem,Was the sample taken after death (true/false)?,,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
nucleicAcidSource,"Specifies the type of nucleic acid (DNA, RNA, Pooled, etc.) found in a sample.","bulk cell,single cell,bulk nuclei,single nucleus,mitochondria,sorted cells,sorted nuclei",True,Biospecimen,False,STRING,NCI Thesaurus OBO Edition,C171278,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.04d&ns=ncit&code=C171278&key=1146649015&b=1&n=1,,ManifestColumn,Biospecimen_non_Human_Attribute,,
organ,Indicate the organ the specimen is from,NCI values (not listed for purposes of this RFC),True,Biospecimen,False,STRING,NCI Thesaurus OBO Edition,C13018,http://purl.obolibrary.org/obo/NCIT_C13018,,ManifestColumn,Biospecimen_non_Human_Attribute,,
samplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor.Other,Unknown, Not collected, Not applicable",,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
specimenAge,"The subject's age at the time of specimen extraction is the individual's age (since birth) at the time a given specimen was extracted. Measured as age in years. Other, Unknown, Not collected, Not applicable",,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,True,Biospecimen,False,STRING,,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
specimenSource,Indicate the biological area of the specimen,Human Reference Atlas values (not listed for purposes of this RFC),True,BIospecimen,False,STRING,Human Reference Atlas Common Coordinate Framework Ontology,,https://www.ebi.ac.uk/ols/ontologies/ccf/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004537&lang=en&viewMode=PreferredRoots&siblings=false,,ManifestColumn,Biospecimen_non_Human_Attribute,,
specimenType,Type of biological material comprising the Specimen,"blood,plasma,urine,saliva,stool,serum,tissue,swabs,sputum,Cerebrospinal Fluid (CSF),organoid",True,Biospecimen,True,STRING,NCI Thesaurus OBO Edition,C70713,"Sage Bionetworks, http://purl.obolibrary.org/obo/NCIT_C70713",,ManifestColumn,Biospecimen_non_Human_Attribute,,
tissue,Indicate the tissue the specimen is from,,True,Biospecimen,False,STRING,NCI Thesaurus OBO Edition,C12801,http://purl.obolibrary.org/obo/NCIT_C12801,,ManifestColumn,Biospecimen_non_Human_Attribute,,
tissueVolume,The volume of the tissue sample. Measured in microliters.,,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
tissueWeight,The mass of the tissue specimen. Measured in mg.,,True,Biospecimen,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Biospecimen_non_Human_Attribute,,
