Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
adjustedCovariates,Any covariates the GWAS is adjusted for. Multiple values can be listed separately by a semicolon (;).Example: age;sex,,False,genotyping,True,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
arrayInformation,"Additional information about the genotyping array. For example, for targeted arrays, please provide the specific type of array.Example: Immunochip",,False,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
arrayManufacturer,"Manufacturer of the genotyping array used for the discovery stage. Separate multiple manufacturers by a semicolon (;).Example: Illumina, Affymetrix, Perlegen",,False,genotyping,True,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
backgroundTrait,Any background trait(s) shared by all individuals in the GWAS (e.g. in both cases and controls).Example: Nicotine dependence,,False,genotyping,True,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
genotypeTechnology,"Method(s) used to genotype variants in the discovery stage. Separate multiple methods separated by a semicolon (;).Example: genome-wide genotyping array, exome-wide sequencing, targeted genotyping array",,True,genotyping,True,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
Genotyping_Human,Template for Genotyping_Human,,False,Template,,,Sage Bionetworks,,,,"Filename,specimenID,stage,numberIndividuals,sampleType,useReagent?,reagentID(s),reagentName,reagentManufacturer,reagentCatalogNumber,reagentLotNumber,reagentWeblink,reagentContact,useTreatment?,treatmentID(s),treatmentName,treatmentAmountValue,treatmentAmountUnit,treatmentDurationValue,treatmentDurationUnit,treatmentTemperatureValue,treatmentTemperatureUnit,measurementTechnique,genotypeTechnology,arrayManufacturer,arrayInformation,imputation,imputationPanel,imputationSoftware,variantCount,statisticalModel,adjustedCovariates,reportedTrait,backgroundTrait,useReadMeFile?,readmeFile,useSummaryFile?,summaryFile,summaryStatisticsAssembly,Component",Component
imputation,Were SNPs imputed for the discovery GWAS?,,True,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI",,ManifestColumn,Genotyping_Human,,
imputationPanel,Panel used for imputation.Example: 1000 Genomes Phase 3,,False,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
imputationSoftware,Imputation software.Example: IMPUTE,,False,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,genotyping,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
numberIndividuals,Number of individuals in a group.Example: 2000,,True,"Biospecimen, genotyping",False,INTEGER,"Sage Bionetworks, EMBL-EBI",,ManifestColumn,Genotyping_Human,,
readmeFile,The name of any readme file uploaded to Synapse.Example: example.tsv,,False,"genotyping, useReadMeFile? = Yes",False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'.",,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.",,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time.,,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs).",,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reagentName,The reagent name is an alternative to the Reagent ID.,,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reagentWeblink,An internet address that may provide details of an assay reagent.,,False,"genotyping, useReagent = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
reportedTrait,"The trait under investigation. Please describe the trait concisely but with enough detail to be clear to a non-specialist. Avoid the use of abbreviations; if these are necessary, please define them or their source in the readme file.Example: Reticulocyte count",,True,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,genotyping,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies.",ManifestColumn,Genotyping_Human,,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor.",,True,"Biospecimen, genotyping",False,STRING,Sage Bionetworks,,ManifestColumn,Genotyping_Human,,
stage,Stage of the experimental design.,"Discovery,Replication",True,"Biospecimen, genotyping",False,STRING,"Sage Bionetworks, EMBL-EBI",,ManifestColumn,Genotyping_Human,,
statisticalModel,"A brief description of the statistical model used to determine association significance. It is important to distinguish studies that would otherwise appear identical (e.g., the same trait analyzed using additive, dominant, and recessive models).Example: additive model",,False,genotyping,False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
summaryFile,The name of any summary statistics file uploaded to Synapse.Example: example.tsv,,False,"genotyping, useSummaryFile? = Yes",False,STRING,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
summaryStatisticsAssembly,Genome assembly for the summary statistics.Example: GRCh38,,False,"genotyping, useSummaryFile? = Yes",True,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
treatmentAmountUnit,Unit of treatment amount.,"AFU,AI,AU/ml,DK units/ml,g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,other,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml",False,"genotyping, useTreatment? = Yes",True,NUMBER,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",,False,"genotyping, useTreatment? = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
treatmentDurationUnit,Unit of treatment duration.,"d.p.c.,Days,Hours,Minutes,Months,Not Specified,Seconds,Weeks,Years",False,"genotyping, useTreatment? = Yes",False,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
treatmentDurationValue,Duration of treatment.,,False,"genotyping, useTreatment? = Yes",False,NUMBER,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
treatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.",,False,"genotyping, useTreatment? = Yes",True,STRING,"Sage Bionetworks, ImmPort","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Genotyping_Human,,
treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  The treatment name is an alternate identifier to the Treatment ID.",,False,"genotyping, useTreatment? = Yes",True,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
treatmentTemperatureUnit,Unit of treatment temperature.,"C,F,K,Not Specified",False,"genotyping, useTreatment? = Yes",False,STRING,"Sage Bionetworks, ImmPort",,ManifestColumn,Genotyping_Human,,
