Attribute,Description,Valid Values,Required,Module,multivalue,columnType,ontology,term id,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",,True,Individual,False,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
cohort,Name of the cohort the individual belongs to,"Centenarian,US Family,Denmark Family,The Osteoporotic Fractures in Men (MrOS) Study,Study of Osteoporotic Fractures (SOF),The Health,Aging,and Body Composition Study (HealthABC),Cardiovascular Health Study (CHS)",True,Individual,True,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary",,True,Individual,False,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
countryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")",World Bank country codes (not listed for purposes of this RFC),True,Individual,False,INTEGER,,,https://wits.worldbank.org/countryprofile/metadata/en/country/all,,ManifestColumn,Individual_Human_Attribute,,
diagnosis,Indicate the disease or condition.,"HPO,MONDO,MAXO codes or labels (not listed for purposes of this RFC)",False,"Individual, diagnosisStatus = true",True,STRING,"HPO, MONDO, MAXO",,"https://www.ebi.ac.uk/ols/ontologies/mondo, https://www.ebi.ac.uk/ols/ontologies/maxo, https://www.ebi.ac.uk/ols/ontologies/hp",,ManifestColumn,Individual_Human_Attribute,,
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), \True"" indicates the individual has been diagnosed""","True,False",True,Individual,True,STRING,Sage Bionetworks,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,False,"Individual, ethnicity = Hispanic or Latino",True,STRING,NCI Thesaurus,C93563,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,,ManifestColumn,Individual_Human_Attribute,,
ethnicity,Ethnicity of individual,"Not Hispanic or Latino,Hispanic or Latino,Prefer not to answer",True,Individual,False,STRING,Sage Bionetworks,,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",,ManifestColumn,Individual_Human_Attribute,,
fieldCenterCode,Name of the field center,"BU,PT,NY,DK",True,Individual,False,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
Individual_Human_Attribute,Template for Individual_Human_Attribute,,False,Template,,,,,Sage Bionetworks,,,,"Filename,individualID,cohort,studyCode,fieldCenterCode,visitCode,countryCode,consentGroupID,speciesGroup,sex,race,ethnicity,ethnicGroupCode,age,diagnosisStatus,diagnosis,Component",Component
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,True,Individual,False,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
race,Race of individual,"White,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or  Pacific Islander,Multiracial, race,Prefer not to answer",True,Individual,True,STRING,"Sage Bionetworks, AMA Manual of Style, 11th edition, NCI Thesaurus",,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249, https://jamanetwork.com/pages/inclusive-language, https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsf?version=23.04d",,ManifestColumn,Individual_Human_Attribute,,
sex,The biological sex of the individual,"Male,Female",True,Individual,False,STRING,Sage Bionetworks,,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",,ManifestColumn,Individual_Human_Attribute,,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human,Rodent,Bird,Mammal,Primate",True,Individual,False,STRING,NCI Thesaurus OBO Edition,C62690,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,,ManifestColumn,Individual_Human_Attribute,,
studyCode,"Unique identifier for the study, assigned by the DCC","LC,LG,ILO,LLFS",True,Individual,True,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
visitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",,True,Individual,False,NUMBER,,,Sage Bionetworks,,ManifestColumn,Individual_Human_Attribute,,
