Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
acquisitionBatchSize,The number of samples,,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,,False,"metabolomics, acquisitionBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
acquisitionSoftware,"The name of the acquisition software used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,http://purl.obolibrary.org/obo/MS_1001455,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
acquistionSoftwareVersion,"The version number of software used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,NUMBER,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,False,metabolomics,False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
batchLabel,Used to supply batch label information with any string value,,False,metabolomics,False,STRING,http://purl.obolibrary.org/obo/MS_4000088,,ManifestColumn,Metabolomics,,
batchSize,The number of samples,,False,metabolomics,False,NUMBER,Sage Bionetworks,,ManifestColumn,Metabolomics,,
batchSizeUnit,The unit of measurement for number of samples in a batch,,False,"metabolomics, batchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
controlType,"Control samples suitable for normalization and batch correction.Possible example values: GIS, GoldenWest, NIST SRM 1950, AIBL pool,Baker pool,water plus Baker ISTD, study pool, internal standards, Other, Unknown, Not collected, Not applicable, Not specified",,False,"metabolomics, hasAssayControl = Yes",False,STRING,https://doi.org/10.1101/2020.05.19.105197 https://doi.org/10.1038/sdata.2017.140 https://www-s.nist.gov/srmors/view_detail.cfm?srm=1950 Sage Bionetworks DSLWG,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,http://purl.obolibrary.org/obo/MS_1001013,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",,True,metabolomicss,False,STRING,http://purl.obolibrary.org/obo/MS_1001012,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,True,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
experiementalBatchSize,The number of samples,,False,metabolomics,False,NUMBER,Sage Bionetworks,,ManifestColumn,Metabolomics,,
experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,,False,"metabolomics, experimentalBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Metabolomics,,
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,http://purl.obolibrary.org/obo/OBI_0302884,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.Unit of measure:C, F, K, Not specified",,False,"metabolomics, hasIonizationSource? = Yes",False,NUMBER,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
gasFlowTemperatureUnit,Unit of gas flow temperature,"C,F,K",False,"metabolomics, hasIonizationSource? = Yes",False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.",,False,metabolomics,False,BOOLEAN,Sage Bionetworks,,ManifestColumn,Metabolomics,,
hasIonizationSource?,Were the ionization conditions recorded to enable reproduction of the experiment?,"Yes,No",False,metabolomics,False,BOOLEAN,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
instrumentModel,"The model of the instrument used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified OR use one of these possible values linked belowPossible values are listed under the instrument model term. https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1000031&viewMode=All&siblings=false",ManifestColumn,Metabolomics,,
ionProperty,Ion charge state (positive or negative-ion analysis),"Positive,Negative",False,"metabolomics, hasIonizationSource? = Yes",False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
lensVoltages ,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",,False,"metabolomics, hasIonizationSource? = Yes",False,NUMBER,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
lensVoltagesUnit ,Unit of lens voltages,,False,"metabolomics, hasIonizationSource? = Yes, lensVoltages",False,STRING,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry",,ManifestColumn,Metabolomics,,
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,metabolomics,True,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
Metabolomics,Template for Metabolomics,,False,Template,,,Sage Bionetworks,,,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,instrumentModel,samplePrepProtocol,dataFile,databaseSource,databaseWeblink,databaseName,msTarget,msAssayTechnique,msAnalyteType,sampleIntroduction,extractionMethod,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,spectrometerFrequency,hasIonizationSource?,ionProperty,vacuumPressure,vacuumPressureUnit,lensVoltages ,lensVoltagesUnit ,gasFlowTemperature,gasFlowTemperatureUnit,hasAssayControl,controlType,experiementalBatchSize,experiementalBatchSizeUnit,batchSize,batchSizeUnit,batchID,batchLabel,sampleBatchID,sampleBatchSize,sampleBatchSizeUnit,acquisitionBatchID,acquisitionBatchSize,acquisitionBatchSizeUnit,processingBatchID,processingBatchSize,processingBatchSizeUnit,Component",Component
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,"metabolomics, msTarget = Targeted",False,STRING,http://purl.obolibrary.org/obo/NCIT_C156434,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,Metabolomics,,
