Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Unnamed: 9,Unnamed: 10,Properties,UsedIn,DependsOn,Parent
isStranded,Whether or not the library is stranded.,false False FALSE true True TRUE,True,scRNAseq,False,BOOLEAN,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA",True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq",True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version",,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
readLength,Number of base pairs (bp) sequenced for a read,,True,scRNAseq,False,NUMBER,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
readLengthUnits,The units of measurement.,,True,"scRNAseq, readLength",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forward reverse,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt",True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
rnaBatchSize,The number of samples,,False,scRNAseq,False,NUMBER,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",True,"scRNAseq, rnaBatchSize",False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
runType,The type of run,singleEnd pairedEnd,True,scRNAseq,False,STRING,Sage Bionetworks,,,,ManifestColumn,scRNAseq,,
