key,description,valid values,required,requires,multivalue,type,concept source ontology,note
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor.",,true,"Biospecimen, genotyping ",false,string,Sage Bionetworks,
stage,Stage of the experimental design.,"Discovery, Replication, Unknown Not collected, Not applicable, Not specified",true,"Biospecimen, genotyping ",false,string,"Sage Bionetworks, EMBL-EBI",
numberIndividuals,Number of individuals in a group.Example: 2000,,true,"Biospecimen, genotyping ",false,integer,"Sage Bionetworks, EMBL-EBI",
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,genotyping,false,string,"Sage Bionetworks, ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies."
useReagent?,Was a reagent applied to the sample?,"Yes, No",true,genotyping,false,boolean,"Sage Bionetworks, ImmPort",
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.",,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
reagentName,The reagent name is an alternative to the Reagent ID.,,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs).",,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
reagentWeblink,An internet address that may provide details of an assay reagent.,,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,false,"genotyping, useReagent = Yes",true,string,"Sage Bionetworks, ImmPort",
useTreatment?,Was a treatment applied to the sample?,"Yes, No",true,genotyping ,false,boolean,"Sage Bionetworks, ImmPort",
treatmentID(s),"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.",,false,"genotyping, useTreatment? = Yes",true,string,"Sage Bionetworks, ImmPort","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  The treatment name is an alternate identifier to the Treatment ID.",,false,"genotyping, useTreatment? = Yes",true,string,"Sage Bionetworks, ImmPort",
treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",,false,"genotyping, useTreatment? = Yes",true,string,"Sage Bionetworks, ImmPort",
treatmentAmountUnit,Unit of treatment amount.,"AFU, AI, AU/ml, DK units/ml, g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, other, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"genotyping, useTreatment? = Yes",true,number,"Sage Bionetworks, ImmPort",
treatmentDurationValue,Duration of treatment., ,false,"genotyping, useTreatment? = Yes",false,number,"Sage Bionetworks, ImmPort",
treatmentDurationUnit,Unit of treatment duration.,"d.p.c., Days, Hours, Minutes, Months, Not Specified, Seconds, Weeks, Years",false,"genotyping, useTreatment? = Yes",false,string,"Sage Bionetworks, ImmPort",
treatmentTemperatureValue,Value of treatment temperature.,,false,"genotyping, useTreatment? = Yes",false,number,"Sage Bionetworks, ImmPort",
treatmentTemperatureUnit,Unit of treatment temperature.,"C, F, K, Not Specified",false,"genotyping, useTreatment? = Yes",false,string,"Sage Bionetworks, ImmPort",
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,genotyping,false,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
genotypeTechnology,"Method(s) used to genotype variants in the discovery stage. Separate multiple methods separated by a semicolon (;).Example: genome-wide genotyping array, exome-wide sequencing, targeted genotyping array ",,true,genotyping,true,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
arrayManufacturer,"Manufacturer of the genotyping array used for the discovery stage. Separate multiple manufacturers by a semicolon (;).Example: Illumina, Affymetrix, Perlegen",,false,genotyping,true,string,"Sage Bionetworks, EMBL-EBI","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
