key,description,valid values,required,requires,multivalue,type,concept source ontology,note
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor", ,true,"Biospecimen, metabolomics",false,string,Sage Bionetworks,values unique to each data contributor)
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,"Sage Bionetworks, ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies."
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,metabolomics,true,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,metabolomics,true,string,,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
instrumentModel,"The model of the instrument used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,metabolomics,false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry  ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified OR use one of these possible values linked belowPossible values are listed under the instrument model term. https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1000031&viewMode=All&siblings=false"
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true, metabolomics,false,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",,true,metabolomicss,false,string,http://purl.obolibrary.org/obo/MS_1001012,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,http://purl.obolibrary.org/obo/MS_1001013,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Targeted, Untargeted, Unknown, Not collected, Not applicable, Not specified",true,metabolomics,false,string,Sage Bionetworks,
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,"metabolomics, msTarget = Targeted",false,string,http://purl.obolibrary.org/obo/NCIT_C156434,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true, metabolomics,false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry  ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,http://purl.obolibrary.org/obo/OBI_0302884,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
acquisitionSoftware,"The name of the acquisition software used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,string,http://purl.obolibrary.org/obo/MS_1001455,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
acquistionSoftwareVersion,"The version number of software used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,metabolomics,false,number,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz), ,false,metabolomics,false,number,Sage Bionetworks,
hasIonizationSource?,Were the ionization conditions recorded to enable reproduction of the experiment?,"Yes, No",false,metabolomics,false,boolean,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
ionProperty,Ion charge state (positive or negative-ion analysis),"Positive, Negative",false,"metabolomics, hasIonizationSource? = Yes",false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
vacuumPressure,The recorded vacuum pressure value,,false,"metabolomics, hasIonizationSource? = Yes",false,number,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
vacuumPressureUnit,Unit of vacuum pressure value,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, hasIonizationSource? = Yes, vaccuumPressure",false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
lensVoltages ,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",,false,"metabolomics, hasIonizationSource? = Yes",false,number,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
lensVoltagesUnit ,Unit of lens voltages,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml",false,"metabolomics, hasIonizationSource? = Yes, lensVoltages",false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.Unit of measure:C, F, K, Not specified",,false,"metabolomics, hasIonizationSource? = Yes",false,number,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
gasFlowTemperatureUnit,Unit of gas flow temperature,"C, F, K, Not specified",false,"metabolomics, hasIonizationSource? = Yes",false,string,"Sage Bionetworks, Proposed minimum metadata relative to mass spectrometry ",
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.","Yes, No",false,metabolomics,false,boolean,Sage Bionetworks,
