key,description,valid values,required,requires,multivalue,type,concept source ontology,note,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),true,"WGS, Biospecimen",false,string,Sage Bionetworks,n/a,n/a
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,"Sage Bionetworks, ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies.",
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,WGS,true,string,http://purl.obolibrary.org/obo/NCIT_C45378,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,WGS,true,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",
referenceTranscriptID,"The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be providedProvide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,Sage Bionetworks,,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress, Broad Single Cell Portal, dbGAP, ENA, Ensembl, FlowRepository, GenBank, GEO, GISAID, IEDB, ImmPort, MassIVE, MetaboLights, Metabolomics Workbench, MGnify, NCBI Gene, PRIDE, SRA, UniProt, Other, Unknown, Not collected, Not applicable, Not specified",true,WGS,false,string,Sage Bionetworks,,
transcriptType,The type of transcript reported,"lincRNA, mRNA, snRNA, Other Unknown, Not collected, Not applicable, Not specified",true,WGS,false,string,ImmPort,,
resultUnit,The unit for the result value,"FPKM, RPKM, TPM, Not Specified",true,WGS,false,string,Sage Bionetworks,,
valueReported,The count or gene count for the transcript,,true,WGS,false,number,Sage Bionetworks,,
rnaBatchID,"Isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,Sage Bionetworks,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,Sage Bionetworks,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,Sage Bionetworks,,
libraryPrep,The general strategy by which the library was prepared,"amplicon, cellHashing, Chromium Single Cell 3', DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, lncRNAenrichment, methylSeq, miRNAenrichment, multiome, MULTIseq, PCRfree, polyAselection, proximity ligation, rRNAdepletion, SPLITseq, STARRSeq, SureCell, totalRNA, Other, Unknown, Not collected, Not applicable, Not specified",true,WGS,false,string,Sage Bionetworks,,
libraryPreparationMethod,Method by which library was prepared,"10x, Accel-NGS 2S Plus, Accel-NGS Methyl-Seq, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Omni-ATAC, sac-seq, Smart-seq1, Smart-seq2, Smart-seq4, SMRTbell, TruSeq, Ultralow Methyl-Seq, Other, Unknown, Not collected, Not applicable, Not specified ",true,WGS,false,string,Sage Bionetworks,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,WGS,false,string,Sage Bionetworks,,
isStranded,Whether or not the library is stranded.,false False FALSE true True TRUE,true,WGS,false,boolean,Sage Bionetworks,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forward reverse,true,WGS,false,string,Sage Bionetworks,,
readLength,The length of the read,,true,WGS,false,number,Sage Bionetworks,,
readLengthUnits,The units of measurement.,"AFU, AI, AU/ml, DK units/ml, bp g/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml, other",true,"WGS, readLength",false,string,Sage Bionetworks,,
runType,The type of run,singleEnd pairedEnd,true,WGS,false,string,Sage Bionetworks,,
totalReads,Total number of sequencing reads from a library. ,,true,WGS,false,number,Sage Bionetworks,,
