key,description,valid values,required,requires,multivalue,type,ontology,term id,concept source ontology,note
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",n/a (unique to each data contributor),true,Individual,false,string,n/a,n/a,Sage Bionetworks,
cohort,Name of the cohort the individual belongs to," Other,Unknown, Not collected, Not applicable",true,Individual,true,string,n/a,n/a,Sage Bionetworks,
studyCode,"Unique identifier for the study, assigned by the DCC","LC, LG, ILO, LLFS",true,Individual,true,string,n/a,n/a,Sage Bionetworks,
taxon,"Taxonomic identifier. The National Center for Biotechnology Information taxon ID (formatted as, ex. ""txid9989"")"," NCBI taxonomy values (not listed for purposes of this RFC), Unknown, Not collected, Not applicable",true,Individual,false,string,EDAM - Ontology of bioscientific data analysis and data management,"1179, C45293","https://www.ncbi.nlm.nih.gov/taxonomy, http://edamontology.org/data_1179, http://purl.obolibrary.org/obo/TAXRANK_0000010",
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human, Rodent, Bird, Mammal, Primate, Other, Unknown Not collected, Not applicable",true,Individual,false,string,"NCI Thesaurus OBO Edition, ","C62690, ","https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,",
speciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris") the individual belongs to.""","NCBI taxonomy values (not listed for purposes of this RFC), Unknown, Not collected, Not applicable",true,Individual,false,string,EDAM - Bioscientific data analysis ontology,1045,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,example: https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=135430 
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark""). note: As a default, the valid scientific name for the species should be indicated. ","Genbank common names (not listed for purposes of this RFC) Unknown, Not collected, Not applicable",true,Individual,false,string,EDAM - Bioscientific data analysis ontology,1874,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1874,example: https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=135430   
sex,The biological sex of the individual,"Male, Female, Other, Unknown, Not collected, Not applicable",true,Individual,false,string,NCI Thesaurus OBO Edition,C28421,"Sage Bionetworks, http://purl.obolibrary.org/obo/NCIT_C28421",
lifeStage,The life stage of the individual.note: Other values are possible depending on life stage terminology for individual species. Please let the data curation team know.,"Juvenile, Post-Juvenile, Adult, Other, Unknown, Not collected, Not applicable",true,Individual,false,string,"Biological Collections Ontology, Audiogram Metadata Scheme, PATO - the Phenotype And Trait Ontology",n/a,"Biological Collections Ontology, https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,life%20stage,-The%20life%20stage, https://www.ebi.ac.uk/ols/ontologies/pato",
speciesAge,"Age of individual (formatted in months, ex. ""72 months"").note: Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal."," Unknown, Not collected, Not applicable",true,Individual,false,string,"Sage Bionetworks, Audiogram Metadata Scheme",n/a,"Sage Bionetworks, https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-,age,-The%20age%20of",
captivityStatus,"The status of the individual with regard to captivity.note: Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other values are possible. Please let the data curation team know.","Captive, Stranded, Wild, Other Unknown, Not collected, Not applicable",true,Individual,false,string,Audiogram Metadata Scheme,n/a,"https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=of%20the%20animal.-,captivity%20status,-The%20status%20of",
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months).note: Applicable only to animals with captivity status captive."," Unknown, Not collected, Not applicable",false,"Individual, captivityStatus = captive",false,string,Audiogram Metadata Scheme,n/a,"https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-,captivity%20duration,-The%20duration%20of",
