Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType
projectAnnotations,Applied to Synapse projects to be used for DCCs that use multiple sub projects to mange the data,,,,,,,,,,,,
name,,,,,,,,,,,,,
dataCoordinationCenter,,,,,,,,,,,,,
computationalTools,,,,,,,,,,,,,
externalWebsite,,,,,,,,,,,,,
grantNumber,,,,,,,,,,,,,
grantSerialNumber,,,,,,,,,,,,,
institutions,,,,,,,,,,,,,
isFeatured,,,,,,,,,,,,,
link,,,,,,,,,,,,,
longName,,,,,,,,,,,,,
moreInformation,,,,,,,,,,,,,
moreInformationURL,,,,,,,,,,,,,
principalInvestigators,,,,,,,,,,,,,
shortName,,,,,,,,,,,,,
