Attribute,Description,Valid Values,Required,Module,multivalue,columnType,ontology,term id,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months).note: Applicable only to animals with captivity status captive.",,False,"Individual, captivityStatus = captive",False,STRING,Audiogram Metadata Scheme,,"https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-,captivity%20duration,-The%20duration%20of",,ManifestColumn,Individual_non_Human_Attribute,,
captivityStatus,"The status of the individual with regard to captivity.note: Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other values are possible. Please let the data curation team know.","Captive,Stranded,Wild",True,Individual,False,STRING,Audiogram Metadata Scheme,,"https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=of%20the%20animal.-,captivity%20status,-The%20status%20of",,ManifestColumn,Individual_non_Human_Attribute,,
cohort,Name of the cohort the individual belongs to,,True,Individual,True,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_non_Human_Attribute,,
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark""). note: As a default, the valid scientific name for the species should be indicated.",Genbank common names (not listed for purposes of this RFC),True,Individual,False,STRING,EDAM - Bioscientific data analysis ontology,1874,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1874,example: https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=135430,ManifestColumn,Individual_non_Human_Attribute,,
Individual_non_Human_Attribute,Template for Individual_non_Human_Attribute,,False,Template,,,,,Sage Bionetworks,,,,"Filename,individualID,cohort,studyCode,taxon,speciesGroup,speciesName,commonName,sex,lifeStage,speciesAge,captivityStatus,captivityDuration,Component",Component
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,True,Individual,False,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_non_Human_Attribute,,
lifeStage,The life stage of the individual.note: Other values are possible depending on life stage terminology for individual species. Please let the data curation team know.,"Juvenile,Post-Juvenile,Adult",True,Individual,False,STRING,"Biological Collections Ontology, Audiogram Metadata Scheme, PATO - the Phenotype And Trait Ontology",,"Biological Collections Ontology, https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,life%20stage,-The%20life%20stage, https://www.ebi.ac.uk/ols/ontologies/pato",,ManifestColumn,Individual_non_Human_Attribute,,
sex,The biological sex of the individual,"Male,Female",True,Individual,False,STRING,NCI Thesaurus OBO Edition,C28421,"Sage Bionetworks, http://purl.obolibrary.org/obo/NCIT_C28421",,ManifestColumn,Individual_non_Human_Attribute,,
speciesAge,"Age of individual (formatted in months, ex. ""72 months"").note: Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal.",,True,Individual,False,STRING,"Sage Bionetworks, Audiogram Metadata Scheme",,"Sage Bionetworks, https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-,age,-The%20age%20of",,ManifestColumn,Individual_non_Human_Attribute,,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human,Rodent,Bird,Mammal,Primate",True,Individual,False,STRING,NCI Thesaurus OBO Edition,C62690,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,,ManifestColumn,Individual_non_Human_Attribute,,
speciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris) the individual belongs to.""""""",,True,Individual,False,STRING,EDAM - Bioscientific data analysis ontology,1045,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,example: https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=135430,ManifestColumn,Individual_non_Human_Attribute,,
studyCode,"Unique identifier for the study, assigned by the DCC","LC,LG,ILO,LLFS",True,Individual,True,STRING,,,Sage Bionetworks,,ManifestColumn,Individual_non_Human_Attribute,,
taxon,"Taxonomic identifier. The National Center for Biotechnology Information taxon ID (formatted as, ex. ""txid9989"")",NCBI taxonomy values (not listed for purposes of this RFC),True,Individual,False,STRING,EDAM - Ontology of bioscientific data analysis and data management,"1179, C45293","https://www.ncbi.nlm.nih.gov/taxonomy, http://edamontology.org/data_1179, http://purl.obolibrary.org/obo/TAXRANK_0000010",,ManifestColumn,Individual_non_Human_Attribute,,
