Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
dnaBatchID,"DNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
dnaBatchSize,The number of samples,,True,microbiome,False,NUMBER,Sage Bionetworks,,ManifestColumn,Microbiome,,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,,True,"microbiome, dnaBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
extractionMethod,The name of the process used to separate a desired component of an input material from the remainder,,True,microbiome,False,STRING,http://purl.obolibrary.org/obo/OBI_0302884,,ManifestColumn,Microbiome,,
isStranded,Whether or not the library is stranded.,false False FALSE true True TRUE,True,microbiome,False,BOOLEAN,Sage Bionetworks,,ManifestColumn,Microbiome,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA",True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
libraryPreparationMethod,Method by which library was prepared,"10x,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,Smart-seq2,Smart-seq4,TruSeq",True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version",,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
Microbiome,Template for Microbiome,,False,Template,,,Sage Bionetworks,,,,"Filename,specimenID,sampleType,specifySampleType,measurementTechnique,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,extractionMethod,specifyExtractionMethod,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,specifyDNABatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",Component
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
readLength,The length of the read,,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
readLengthUnits,The units of measurement.,,True,"microbiome, readLength",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,Forward Reverse,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
runType,The sequencing run type,"singleEnd,pairedEnd",True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",True,microbiome,False,STRING,"Sage Bionetworks, ImmPort","The sample types are adopted from Uberon, Cell and CHEBI ontologies.",ManifestColumn,Microbiome,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,True,microbiome,False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
sequencingBatchSize,The number of samples,,True,microbiome,False,NUMBER,Sage Bionetworks,,ManifestColumn,Microbiome,,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",True,"microbiome, sequencingBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyDNABatchSizeUnit,"If ""other"" list unit of measure",,False,"microbiome, dnaBatchSizeUnit = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyExtractionMethod,"If ""other"" list the name of the extraction method",,False,"microbiome, extractionMethod = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,False,"microbiome, libraryPrep = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,False,"microbiome, libraryPreparationMethod = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyLibraryVersion,"If ""other"" list the name of the library version",,False,"microbiome, libraryVersion = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,False,"microbiome, measurementTechnique = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,False,"microbiome, platformLocation = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,False,"microbiome, technologyPlatformVersion = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,False,"microbiome, readLengthUnits = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifySampleType,"If ""other"" is selected list the type of sample",,False,"microbiome, sampleType = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,False,"microbiome, sequencingBatchSizeUnit = other",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,True,"Biospecimen, microbiome",False,STRING,Sage Bionetworks,,ManifestColumn,Microbiome,,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k) Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980",True,microbiome,False,STRING,http://purl.obolibrary.org/obo/NCIT_C45378,,ManifestColumn,Microbiome,,
totalReads,Total number of sequencing reads from a library,,True,microbiome,False,NUMBER,Sage Bionetworks,,ManifestColumn,Microbiome,,
