Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Properties,UsedIn,DependsOn,Parent
bsSeq,Template for bsSeq,,False,Template,,,Sage Bionetworks,,,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,libraryBatchID,libraryPrep,libraryPreparationMethod,libraryVersion,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,directionalBSseqLibrary,gDNAconc,lambdaDNAconc,pcrCycles,meanCoverage,conversionRatio,conversionRatioUnits,enrichmentMethod,Component",Component
conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,,True,bsSeq,False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
conversionRatioUnits,The units of measurement.,,True,"bsSeq, readLength",False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,,True,bsSeq,False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
dnaBatchID,"DNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
dnaBatchSize,The number of samples,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",True,"bsSeq, dnaBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
enrichmentMethod,"The method used for performing an enrichment of specific regions by a restriction enzyme digest.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
gDNAconc,gDNA Concentration in ng,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
isStranded,Whether or not the library is stranded.,"True,False",True,bsSeq,False,BOOLEAN,Sage Bionetworks,,ManifestColumn,bsSeq,,
lambdaDNAconc,Lambda DNA spike-in concentration in ng,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
libraryPrep,"The general strategy by which the library was prepared.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
libraryPreparationMethod,"Method by which library was prepared.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,True,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,True,STRING,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
readLength,The length of the read.,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
readLengthUnits,The units of measurement.,,True,"bsSeq, readLength",False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol.,forward reverse,True,bsSeq,False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
referenceTranscriptID,"The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
runType,The type of run,singleEnd pairedEnd,True,bsSeq,False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies.",ManifestColumn,bsSeq,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,False,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
sequencingBatchSize,The number of samples,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,,True,"bsSeq, sequencingBatchSize",False,STRING,Sage Bionetworks,,ManifestColumn,bsSeq,,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",,True,"Biospecimen, bsSeq",False,STRING,Sage Bionetworks,n/a (unique to each data contributor),ManifestColumn,bsSeq,,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,bsSeq,True,STRING,http://purl.obolibrary.org/obo/NCIT_C45378,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",ManifestColumn,bsSeq,,
totalReads,Total number of sequencing reads from a library.,,True,bsSeq,False,NUMBER,Sage Bionetworks,,ManifestColumn,bsSeq,,
