key,description,valid values,required,requires,multivalue,type,concept source ontology,note
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,true,"Biospecimen, proteomics",false,string,Sage Bionetworks,values unique to each data contributor)
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,false,string,"Sage Bionetworks, ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specifiedThe sample types are adopted from Uberon, Cell and ChEBI ontologies."
experimentType,"The type of experiment used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,Proteomic Data Commons,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,proteomics,true,string,http://purl.obolibrary.org/obo/NCIT_C45378,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified", ,true,proteomics,true,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
instrumentModel,"The model of the instrument used.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,"Sage Bionetworks, DSLWG, Proposed minimum metadata relative to mass spectrometry  ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified OR use one of these possible values linked below Possible values are listed under the instrument model term."
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;)Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,Proteomics Sample Metadata,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,http://purl.obolibrary.org/obo/MS_1001012,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,http://purl.obolibrary.org/obo/MS_1001013,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
modificationParameters,"Modification parameters for a search engine run. (ex. PSI: PI http://www.w3.org/2002/07/owl#Axiom) or used in the peptide identification database search.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true, proteomics,true,string,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1001055,"Possible values are listed under modification parameters:https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1001055Other, Unknown, Not collected, Not applicable, Not specified"
quantationStrategy,"The general strategy used for differential analysisExample: Absolute quantitation analysis, Isobaric label quantitation analysis, LC-MS label-free quantitation analysis,Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,true,proteomics,true,string,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
labelQuantitation,"Type of labeling usedProvide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified","AminoxyTMT, DiART, DiLeu, Glyco-TMT, Hydrazide TMT, IodoTMT, IPTL, iTRAQ, iTRAQH, Label Free, TMT, Unknown, Not collected, Not applicable, Not specified",true,proteomics,true,string,"Sage Bionetworks, DSLWG, https://www.ebi.ac.uk/ols/ontologies/pride/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPRIDE_0000514&viewMode=All&siblings=false Proteomics Data Commons https://pdc.cancer.gov/data-dictionary/dictionary.html ",
labelFreeQuantitation,"Type of label-free data analysis strategyProvide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified","Label-free protein level quantitation, Label-free peptide level quantitation, Label-free protein group level quantitation, Label-free raw feature quantitation, Label-free gene level quantitation, Unknown Not collected, Not applicable, Not specified",true,proteomics labelQuantiation = Label Free,true,string,Proteomics Data Commons,
