key,description,valid values,required,requires,multivalue,type,ontology,term id,concept source ontology,note
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,true,Individual,false,string,n/a,n/a,Sage Bionetworks,n/a (unique to each data contributor)
cohort,Name of the cohort the individual belongs to," Other,Unknown, Not collected, Not applicable, Not specified",true,Phenotype,true,string,n/a,n/a,Sage Bionetworks,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human, Rodent, Bird, Mammal, Primate, Other, Unknown Not collected, Not applicable, Not specified",true,Phenotype,false,string,"NCI Thesaurus OBO Edition, ","C62690, ","https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,",
sex,The biological sex of the individual,"Male, Female, Other, Unknown, Not collected, Not applicable, Not specified",true,Phenotype,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",
race,Race of individual,"White, Black or African American, Asian, American Indian or Alaska Native, Native Hawaiian or Other Pacific Islander, Multiracial, Other race, Prefer not to answer, Unknown, Not collected, Not applicable, Not specified",true,Phenotype,true,string,"Sage Bionetworks, AMA Manual of Style, 11th edition, NCI Thesaurus",n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249, https://jamanetwork.com/pages/inclusive-language, https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsf?version=23.04d",
ethnicity,Ethnicity of individual,"Not Hispanic or Latino,Hispanic or Latino,Prefer not to answer, Other, Unknown, Not collected, Not applicable, Not specified",true,Phenotype,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,false,"Phenotype, ethnicity = Hispanic or Latino",true,string,NCI Thesaurus,C93563,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)", ,true,Phenotype,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, ","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified"
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), \"True" indicates the individual has been diagnosed","True, False, Unknown, Not collected, Not applicable, Not specified",true,Phenotype,true,string,Sage Bionetworks,n/a,Sage Bionetworks,
diagnosis,Indicate the disease or condition.,,false,"Phenotype, diagnosisStatus = true",true,string,"HPO, MONDO, MAXO",n/a,"https://www.ebi.ac.uk/ols/ontologies/mondo, https://www.ebi.ac.uk/ols/ontologies/maxo, https://www.ebi.ac.uk/ols/ontologies/hp","HPO, MONDO, MAXO codes or labels (not listed for purposes of this RFC), Other, Unknown, Not collected, Not applicable, Not specified"
