Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,Template,Parent,Source,Type,Ontology,multivalue,UsedIn,module
DataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","dataMatrix, metadata, normalized, processed, raw, residualized",False,,,DataProperty,,,BaseAnnotation,sage.annotations-experimentalData.dataSubtype-0.0.3,unspecified,,,,experimentalData
DataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology, metagenomics, epigenetics, pharmacology",False,,,DataProperty,,,BaseAnnotation,sage.annotations-experimentalData.dataType-0.0.3,unspecified,,,,experimentalData
ID mapping,A file or table that maps data identifiers to one another for example to establish a link between two biological databases for the purposes of data integration.,,False,,,MetadataType,,,BaseAnnotation,http://edamontology.org/operation_3282,unspecified,,,,experimentalData
MetadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","analytical covariates, assay, biospecimen, data dictionary, ID mapping, individual, manifest, protocol",False,,,DataProperty,,,BaseAnnotation,sage.annotations-experimentalData.metadataType-0.0.4,unspecified,,,,experimentalData
analysisType,Type of analysis,"ANOVA, assessment, batch effect correction, chromatin accessible quantitative trait loci detection, Clustering, comparison, Copy number estimation, correlation, covariate specification, data mining, data normalization, de-novo assembly, differential expression, differential methylation, differential network analysis, DNA methylation imputation, dose response study, Enrichment analysis, EWAS, expression quantitative trait loci detection, Gene expression comparison, Genome-Wide Association, genome-wide pleiotropy, genotypeAncestry, genotype imputation, hidden confounder detection, manifold learning, Mendelian randomization analysis, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, Polygenic Risk Scores, principal component analysis, protein quantitative trait loci detection, purity, quality control, search engine output files, Sequence alignment, somatic mutation calling, statistical network reconstruction, structural variation detection, Supervised Machine Learning, transcript quantification, variancePartition, Variant calling, visualization",False,,,DataProperty,,,BaseAnnotation,sage.annotations-analysis.analysisType-0.0.14,unspecified,,,,analysis
analytical covariates,A file that contains a combination or subset of individual- or specimen-level covariates used for a particular analysis.,,False,,,MetadataType,,,BaseAnnotation,Sage Bionetworks,unspecified,,,,experimentalData
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.,,False,,,MetadataType,,,BaseAnnotation,Sage Bionetworks,unspecified,,,,experimentalData
consortium,The name of the consortium,ELITE,True,,,DataProperty,,,BaseAnnotation,sage.annotations-sageCommunity.consortium-0.0.5,unspecified,,,,sageCommunity
data dictionary,Metadata describing terms or variables that appear in another file.,,False,,,MetadataType,,,BaseAnnotation,Sage Bionetworks,unspecified,,,,experimentalData
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","7z, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bim, bpm, bsc, cel, chp, cram, csv, czi, dat, DICOM, doc, dup, excel, fam, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, mat, md, mov, mp4, msf, mtx, nirs, pdf, pdresult, pdstudy, pdview, plink, png, powerpoint, Python script, pzfx, R script, raw, RCC, RLF, RData, recal, rmd, saf, sam, sav, sdf, seg, Sentrix descriptor file, sf3, sif, sqlite, sra, svg, svs, Synapse Table, tab, tagAlign, tar, tbi, tif, tranches, tsv, txt, vcf, wiggle, xml, yaml, zip",False,,,DataProperty,,,BaseAnnotation,sage.annotations-sageCommunity.fileFormat-0.0.12,unspecified,,,,sageCommunity
