Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,UsedIn,Parent,Source,Type,Ontology,multivalue,Module
10x Visium Spatial Gene Expression,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
EnVision 2103 Multiplate Reader,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Exploris 240Exploris 480quadrupole time-of-flight,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
FIA-MSMS,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina 1M,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Genome Analyzer IIx,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HiSeq 2000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HiSeq 2500,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HiSeq 3000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HiSeq 4000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HiSeq X,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Human660W-Quad v1.0 BeadChip,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HumanHap300,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HumanMethylation450,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HumanOmni1-Quadv1.0,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HumanOmniExpress-24 v1.0 BeadChip,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina HumanOmniExpress-24 v1.2 BeadChip,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina MouseWG-6 v2.0 expression BeadChip,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina NextSeq 1000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina NextSeq 2000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina NextSeq 500,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina NextSeq 550,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina NovaSeq 6000,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Omni2pt5M,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina Omni5M,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina WholeGenome DASL,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
Illumina h650,Instrument Model Name,,False,,,ValidValue,,,ValidValue,Unspecified,UNSPECIFIED,Unspecified,,Instrument
