Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,Template,Parent,Source,Type,Ontology,multivalue,UsedIn,module
OtherControlType,"When controlType = other,Control samples suitable for normalization and batch correction",,False,specifyControlType,,ValidValue,,Metabolomics Human,Specification,"Sage Bionetworks,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG",STRING,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,False,controlType,
OtherMsAnalyteType,"When msAnalyteType = other,the type of biospecimen subjected to analysis",,False,specifyMSAnalyteType,,ValidValue,,"Metabolomics Human,Proteomics",Specification,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",STRING,http://purl.obolibrary.org/obo/NCIT_C156434,False,msAnalyteType,
otherAcquisitionBatchSizeUnit,When acquisitionBatchSizeUnit = other,,False,specifyAcquisitionBatchSizeUnits,,ValidValue,,Metabolomics Human,Specification,,unspecified,,,,
otherBatchSizeUnit,When batchSizeUnit = other,,False,specifyBatchSizeUnits,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
otherCleavageAgents,When cleavageAgents = other,,False,specifyOtherCleavageAgent,,ValidValue,,Proteomics,Specification,Sage Bionetworks,unspecified,,,,
otherDatabaseName,When databaseName = other,,False,specifyDatabaseName,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherDatabaseSource,When databaseSource = other,,False,specifyDatabaseSource,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherDigestionMethod,When digestionMethod = other,,False,specifyDigestionMethod,,ValidValue,,Proteomics,Specification,Sage Bionetworks,unspecified,,,,
otherDnaBatchSizeUnit,When dnaBatchSizeUnit = other,,False,specifyDNABatchSizeUnit,,ValidValue,,"Microbiome,bsSeq",Specification,Sage Bionetworks,unspecified,,,,
otherExperimentalBatchSizeUnit,When experimentalBatchSizeUnit = other,,False,specifyExperimentalBatchSizeUnits,,ValidValue,,Metabolomics Human,Specification,,unspecified,,,,
otherExtractionMethod,When extractionMethod = other,,False,specifyExtractionMethod,,ValidValue,,Microbiome,Specification,Sage Bionetworks,unspecified,,,,
otherLensVoltageUnits,When lensVoltageUnits = other,,False,specifyLensVoltageUnits,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
otherLibraryPrep,When libraryPrep = other,,False,specifyLibraryPrep,,ValidValue,,"Microbiome,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherLibraryPreparationMethod,When libraryPreparationMethod = other,,False,specifyLibraryPreparationMethod,,ValidValue,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherLibraryVersion,When libraryVersion = other,,False,specifyLibraryVersion,,ValidValue,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherMeasurementTechnique,When measurementTechnique = other,,False,specifyMeasurementTechnique,,ValidValue,,"Genotyping,Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherModificationParameters,When modificationParameters = other,,False,specifyOtherModificationParameters,,ValidValue,,Proteomics,Specification,Sage Bionetworks,unspecified,,,,
otherMsAnalyzerTypeMS1,When msAnalyzerTypeMS1 = other,,False,specifyMSAnalyzerTypeMS1,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherMsAnalyzerTypeMS2,When msAnalyzerTypeMS2 = other,,False,specifyMSAnalyzerTypeMS2,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherMsAssayTechnique,When msAssayTechnique = other,,False,specifyMSAssayTechnique,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherMsInstrumentModel,When msInstrumentModel = other,,False,specifyMSInstrumentModel,,ValidValue,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,unspecified,,,,
otherPlatformLocation,When platformLocation = other,,False,specifyPlatformLocation,,ValidValue,,"Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherProcessingBatchSizeUnit,When ProcessingBatchSizeUnit = other,,False,specifyProcessingBatchSizeUnit,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
otherProteomicsAssayType,When ProteomicsAssayType = other,,False,specifyProteomicsAssayType,,ValidValue,,Proteomics,Specification,Sage Bionetworks,unspecified,,,,
otherReadLengthUnits,When readLengthUnits = other,,False,specifyReadLengthUnits,,ValidValue,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherRepositoryName,When repositoryName = other,,False,specifyRepositoryName,,ValidValue,,"RNAseq,Whole Genome Sequencing,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherRnaBatchSizeUnit,When rnaBatchSizeUnit = other,,False,specifyRNABatchSizeUnit,,ValidValue,,scRNAseq,Specification,Sage Bionetworks,unspecified,,,,
otherSampleBatchSizeUnit,When sampleBatchSizeUnit = other,,False,specifySampleBatchSizeUnits,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
otherSampleIntdocution,When sampleIntdocution = other,,False,specifySampleIntroduction,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
otherSampleType,When sampleType = other,,False,specifySampleType,,ValidValue,,"Genotyping,Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherSequencingBatchSizeUnit,When sequencingBatchSizeUnit = other,,False,specifySequencingBatchSizeUnit,,ValidValue,,"Microbiome,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherTechnologyPlatformVersion,When technologyPlatformVersion = other,,False,specifyPlatformVersion,,ValidValue,,"Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherTranscriptType,When transcriptType = other,,False,specifyTranscriptType,,ValidValue,,"RNAseq,Whole Genome Sequencing,scRNAseq",Specification,Sage Bionetworks,unspecified,,,,
otherVaccumPressureUnits,When vaccumPressureUnits = other,,False,specifyVacuumPressueUnits,,ValidValue,,Metabolomics Human,Specification,Sage Bionetworks,unspecified,,,,
specifyAcquisitionBatchSizeUnits,"If ""other"" list units of measure",,False,,,DataProperty,,Metabolomics Human,Specification,,unspecified,,False,,
specifyBatchSizeUnits,"If ""other"" list the unit of measure",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifyControlType,"If ""other"" specify the control type",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifyDNABatchSizeUnit,"If ""other"" list unit of measure",,False,,,DataProperty,,"Microbiome,bsSeq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyDatabaseName,"If ""other"" list the name of the search database",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyDatabaseSource,"If ""other"" list the name of the database source",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyDigestionMethod,"If ""other"" list the type of digestion",,False,,,DataProperty,,Proteomics,Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyExperimentalBatchSizeUnits,"If ""other"" list units of measure",,False,,,DataProperty,,Metabolomics Human,Specification,,unspecified,,False,,
specifyExtractionMethod,"If ""other"" list the name of the extraction method",,False,,,DataProperty,,Microbiome,Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyLensVoltageUnits,"If ""other"" provide the unit of measure",,False,,,DataProperty,,Metabolomics Human,Specification,Sage Bionetworks,STRING,Sage Bionetworks,,,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,False,,,DataProperty,,"Microbiome,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,False,,,DataProperty,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyLibraryVersion,"If ""other"" list the name of the library version",,False,,,DataProperty,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMSAnalyteType,"If ""other"" list the type of analyte ",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMSAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMSAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMSAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the Proteomics assay used",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMSInstrumentModel,"If ""other"" is selected list the name of the instrument model",,False,,,DataProperty,,"Metabolomics Human,Proteomics",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,False,,,DataProperty,,"Genotyping,Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyOtherCleavageAgent,"If ""other"" is selected, list the enzyme name. ",,False,,,DataProperty,,Proteomics,Specification,Sage Bionetworks,STRING,Sage Bionetworks,True,,
specifyOtherModificationParameters,"If ""other"" is selected, list the custom modification name. We recommend using an intuitive name",,False,,,DataProperty,,Proteomics,Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,False,,,DataProperty,,"Metabolomics Human,Microbiome,Proteomics,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",Specification,Sage Bionetworks,STRING,Sage Bionetworks,False,,
