Attribute,Description,Valid Values,Required,DependsOn,DependsOn Component,Properties,Validation Rules,UsedIn,Parent,Source,Type,Ontology,multivalue,Module
AU/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
DK units/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
Days,,,False,,,ValidValue,,,ValidValue,Unspecified,NUMERIC,Unspecified,,Unit
Hours,,,False,,,ValidValue,,,ValidValue,Unspecified,NUMERIC,Unspecified,,Unit
IU,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
IU/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
M,"Measurement unit,Molar",,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
Months,,,False,,,ValidValue,,,ValidValue,Unspecified,NUMERIC,Unspecified,,Unit
bpg/dl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
g/dl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
g/l,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
gm,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
iu/l,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
kg,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
l,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
mM,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
mg,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
mg/dl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
mg/l,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
mg/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
miu/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
nM,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ng,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ng/dl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ng/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ng/nl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ng/ul,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
nl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pM,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pg,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pg/mg creatinine,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pg/ml,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pg/nl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pg/ul,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
pl,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
uM,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
ug,Measurement unit,,False,,,ValidValue,,,MeasurementUnit,Unspecified,"STRING,NUMERIC",Unspecified,False,Unit
