Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
acquisitionBatchSize,The number of samples,,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherAcquisitionBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherAcquisitionBatchSizeUnit ,PFU,PFUe,Pound,TCID50,bp,g/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
batchLabel,Used to supply batch label information with any string value,,,ManifestColumn,False,ManifestColumn,,http://purl.obolibrary.org/obo/MS_4000088,,"Assay,Metadata",http://purl.obolibrary.org/obo/MS_4000088,Metabolomics,STRING,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata","DSLWG,Sage Bionetworks","Metabolomics,Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,proteomics,scRNAseq",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
processingBatchSize,The number of samples,,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
processingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherProcessingBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,ManifestColumn,False,ManifestColumn,,http://purl.obolibrary.org/obo/MS_1000053,,"Assay,Metadata",http://purl.obolibrary.org/obo/MS_1000053,Metabolomics,STRING,,
sampleBatchSize,The number of samples,,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,"Assay,Metadata",Sage Bionetworks,Metabolomics,STRING,,
