Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
Affymetrix Genome-Wide Human SNP 6.0 Array,,,,,False,ValidValue,,,,Assay,,,,,
Affymetrix Human Gene 1.0 ST Array,,,,,False,ValidValue,,,,Assay,,,,,
Affymetrix Human Genome U133 Plus 2.0 Array,,,,,False,ValidValue,,,,Assay,,,,,
Affymetrix U133AB,,,,,False,ValidValue,,,,Assay,,,,,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"FALSE, Not applicable, Not collected, Unknown,TRUE",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,bsSeq,,,
dnaBatchID,DNA isolation batch,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,bsSeq",,,
dnaBatchSize,The number of samples,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,bsSeq",,,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherDnaBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,bsSeq",,,
DNALibraryConstruction,,,,,False,ValidValue,,,,Assay,,,,,
Drop-Seq,,,,,False,ValidValue,,,,Assay,,,,,
isStranded,Whether or not the library is stranded.,"TRUE, FALSE, Not applicable, Not collected, Other, Uknown",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",STR,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,Whole Genome Sequencing,bsSeq,scRNAseq",,,
libraryPrep,The general strategy by which the library was prepared,"Chromium Single Cell 3', DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, MULTIseq, Not Specified, Not applicable, Not collected, OtherLibraryPrep, PCRfree, SPLITseq, STARRSeq, SureCell, Unknown, cellHashing, lncRNAenrichment, methylSeq, miRNAenrichment, multiome, polyAselection, proximity ligation, rRNAdepletion, totalRNA,amplicon",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,Whole Genome Sequencing,bsSeq,scRNAseq",,,
libraryPreparationMethod,Method by which library was prepared,"Accel-NGS 2S Plus, Accel-NGS Methyl-Seq, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Not Specified, Not applicable, Not collected, Omni-ATAC, OtherLibraryPreparationMethod, SMRTbell, Smart-seq1, Smart-seq2, Smart-seq4, TruSeq, Ultralow Methyl-Seq, Unknown, sac-seq,10x",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","Not Specified, Not applicable, Not collected, Unknown,OtherLibraryVersion",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
readLength,The length of the read,,,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
readLengthUnits,The units of measurement.,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherReadLengthUnits, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",,,True,ManifestColumn,,Sage Bionetworks,,Assay,,"Microbiome,RNAseq,Whole Genome Sequencing,bsSeq,scRNAseq",,,
