Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
ID mapping,A file or table that maps data identifiers to one another for example to establish a link between two biological databases for the purposes of data integration.,,,,,BaseAnnotation,,http://edamontology.org/operation_3282,,BaseAnnotation,,,,,
analysisType,Type of analysis,"Clustering, Copy number estimation, DNA methylation imputation, EWAS, Enrichment analysis, Gene expression comparison, Genome-Wide Association, Mendelian randomization analysis, Polygenic Risk Scores, Sequence alignment, Supervised Machine Learning, Variant calling, assessment, batch effect correction, chromatin accessible quantitative trait loci detection, comparison, correlation, covariate specification, data mining, data normalization, de-novo assembly, differential expression, differential methylation, differential network analysis, dose response study, expression quantitative trait loci detection, genome-wide pleiotropy, genotype imputation, genotypeAncestry, hidden confounder detection, manifold learning, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, principal component analysis, protein quantitative trait loci detection, purity, quality control, search engine output files, somatic mutation calling, statistical network reconstruction, structural variation detection, transcript quantification, variancePartition, visualization,ANOVA",,,False,BaseAnnotation,,sage.annotations-analysis.analysisType-0.0.14,str,BaseAnnotation,,,,,
analytical covariates,A file that contains a combination or subset of individual- or specimen-level covariates used for a particular analysis.,,,,,BaseAnnotation,,Sage Bionetworks,,BaseAnnotation,,,,,
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.,,,,,BaseAnnotation,,Sage Bionetworks,,BaseAnnotation,,,,,
data dictionary,Metadata describing terms or variables that appear in another file.,,,,,BaseAnnotation,,Sage Bionetworks,,BaseAnnotation,,,,,
dataCoordinationCenter,Data coordination center,ELITE,,,True,BaseAnnotation,,sage.annotations-sageCommunity.consortium-0.0.5,,BaseAnnotation,,,,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","analysis, metadata, normalized, processed, raw, residualized,dataMatrix",,,False,ManifestColumn,,sage.annotations-experimentalData.dataSubtype-0.0.3,str,BaseAnnotation,,,,,
dataType,Types of input/output data in bioinformatics pipelines,"Pharmacokinetic Study, Weight, behavior process, cellularPhysiology, chromatinActivity, clinical, drugCombinationScreen, drugScreen, electrophysiology, epigenetics, geneExpression, genomicVariants, image, immunoassay, isoformExpression, kinomics, metabolomics, metagenomics, network, pharmacology, proteomics, surveyData,Volume",,,False,ManifestColumn,,sage.annotations-experimentalData.dataType-0.0.3,str,BaseAnnotation,,,,,
familyStudyParticipant,If the entity is a part of a family study,False,,,True,ManifestColumn,,sage.annotations-sageCommunity.resourceType-0.0.5,,BaseAnnotation,,,BOOLEAN,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","DICOM, Python script, R script, RCC, RData, RLF, Sentrix descriptor file, Synapse Table, ab1, abf, avi, bai, bam, bash script, bcf, bed, bed broadPeak, bed gappedPeak, bed narrowPeak, bedgraph, bgzip, bigwig, bim, bpm, bsc, cel, chp, cram, csv, czi, dat, doc, dup, excel, fam, fasta, fastq, fig, flagstat, gct, gff3, gtf, gzip, hdf, hic, html, hyperlink, idat, idx, jpg, json, locs, maf, mat, md, md5, mov, mp4, msf, mtx, nirs, pdf, pdresult, pdstudy, pdview, plink, png, powerpoint, pzfx, raw, recal, rmd, saf, sam, sav, sdf, seg, sf3, sif, sqlite, sra, svg, svs, tab, tagAlign, tar, tbi, tif, tranches, tsv, txt, vcf, wiggle, xml, yaml, zip,7z",,,False,BaseAnnotation,,sage.annotations-sageCommunity.fileFormat-0.0.12,str,BaseAnnotation,,,,,
grant,"Grant number including activity code, institute code, and serial number (e.g. U01MH103392)",,,,False,BaseAnnotation,,sage.annotations-neuro.grant-0.0.2,str,BaseAnnotation,,,,,
individual,Metadata describing properties of individuals (human or animal) represented in the study.,,,,,BaseAnnotation,,Sage Bionetworks,,BaseAnnotation,,,,,
isModelSystem,,False,,,False,BaseAnnotation,,sage.annotations-neuro.isModelSystem-0.0.2,,BaseAnnotation,,,,,
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens. Use either True or False,False,,,False,BaseAnnotation,,sage.annotations-experimentalData.isMultiSpecimen-0.0.2,,BaseAnnotation,,,,,
libraryType,"The type of library, in assays where samples are barcoded or hashed for multiplexing or each sample has multiple libraries amplified separately before pooled sequencing.","CMO, HTO, LMO, cDNA, plasmid DNA,ADT",,,False,BaseAnnotation,,sage.annotations-ngs.libraryType-0.0.3,str,BaseAnnotation,,,,,
