,7
Attribute,adjustedCovariates
Description,Any covariates the GWAS is adjusted for. Multiple values can be listed separately by a semicolon (;). Example - age;sex
Valid Values,
DependsOn,
DependsOn Component,
Required,False
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,True
columnType,STRING
Ontology,"Sage Bionetworks, EMBL-EBI"
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,Genotyping_Human
