,34
Attribute,databaseName
Description,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/MS_1001013"
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,"Metabolomics,Metagenomics,Proteomics"
