,63
Attribute,genotypeTechnology
Description,"Method(s) used to genotype variants in the discovery stage. Separate multiple methods separated by a semicolon (;). Example - genome-wide genotyping array, exome-wide sequencing, targeted genotyping array"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,True
columnType,STRING
Ontology,"Sage Bionetworks, EMBL-EBI"
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,Genotyping_Human
