,73
Attribute,instrumentModel
Description,"The model of the instrument used. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,"DSLWG,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks"
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified OR use one of these possible values linked belowPossible values are listed under the instrument model term. https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1000031&viewMode=All&siblings=false. "
UsedIn,"Metabolomics,Metagenomics,Proteomics"
