,91
Attribute,lifeStage
Description,The life stage of the individual.note- Other values are possible depending on life stage terminology for individual species. Please let the data curation team know.
Valid Values,"Adult,Juvenile,Post-Juvenile"
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,"Biological Collections Ontology, https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,life%20stage,-The%20life%20stage, https://www.ebi.ac.uk/ols/ontologies/pato"
Notes, 
UsedIn,Individual_non_Human
