,125
Attribute,referenceTranscriptID
Description,"The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,Sage Bionetworks
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,"RNAseq,Whole_Genome_Sequencing,bsSeq,scRNAseq"
