,156
Attribute,summaryFile
Description,The name of any summary statistics file uploaded to Synapse. Example - example.tsv
Valid Values,
DependsOn,
DependsOn Component,
Required,False
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,"Sage Bionetworks, EMBL-EBI"
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,Genotyping_Human
