Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
American Indian or Alaska Native,,,,,False,Demographics,,,,Metadata,,,,,
Asian,,,,,False,Demographics,,,,Metadata,,,,,
Black or African American,,,,,False,Demographics,,,,Metadata,,,,,
Female,,,,,False,ValidValue,,,,Metadata,,,,,
Multiracial,,,,,False,Demographics,,,,Metadata,,,,,
Native Hawaiian or Other Pacific Islander,,,,,False,Demographics,,,,Metadata,,,,,
Not Hispanic or latino,,,,,False,ValidValue,,,,Metadata,,,,,
Other race,,,,,False,Demographics,,,,Metadata,,,,,
Prefer not to answer,,,,,False,Demographics,,,,Metadata,,,,,
White,Related to demographics,,,,False,Demographics,,,,Metadata,,,,,
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,ManifestColumn,,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,,Metadata,https://www.ebi.ac.uk/ols/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,"Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
acquisitionSoftware,"The name of the acquisition software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,ManifestColumn,,http://purl.obolibrary.org/obo/MS_1001455,,Metadata,http://purl.obolibrary.org/obo/MS_1001455,"Metabolomics,proteomics",STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
acquistionSoftwareVersion,"The version number of software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,,ManifestColumn,True,ManifestColumn,,Sage Bionetworks,,Metadata,"DSLWG,Sage Bionetworks","Metabolomics,proteomics",NUMBER,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",,,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Individual Human,,,
assay,The analysis or technology used to generate the data in this file,"16SrRNAseq, ATACSeq, Baker Lipidomics, Biocrates Bile Acids, Biocrates Q500, Biocrates p180, Blood Chemistry Measurement, CITESeq, CUT&Tag, ChIPSeq, DIA, DNA optical mapping, ELISA, FIA-MSMS, FitBark, Genotyping, HI-C, HPLC, HPLC-MSMS, HiChIPseq, ISOSeq, Immunocytochemistry, LC-MS, LC-MSMS, LC-SRM, LFP, LTP, Laser Speckle Imaging, MDMS-SL, MIB/MS, MRI, Metabolon, MudPIT, NOMe-Seq, Nightingale NMR, Positron Emission Tomography, RPPA, Rader Lipidomics, Real Time PCR, Ribo-Seq, STARRSeq, Sanger sequencing, SiMoA, TMT quantitation, UC Davis GCTOF, UCSD Untargeted Metabolomics, UPLC-ESI-QTOF-MS, UPLC-MSMS, Vernier Caliper, Wishart Catecholamines, Wishart High Value Metabolites, Zeno Electronic Walkway, active avoidance learning behavior, anxiety-related behavior, atomicForceMicroscopy, autoradiography, bisulfiteSeq, brightfieldMicroscopy, cellViabilityAssay, contextual conditioning behavior, electrochemiluminescence, elevated T maze apparatus method, elevated plus maze test, errBisulfiteSeq, exomeSeq, frailty assessment, high content screen, immunofluorescence, immunohistochemistry, in vivo bioluminescence, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, lentiMPRA, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, long-read rnaSeq, m6A-rnaSeq, mRNAcounts, memory behavior, methylationArray, microRNAcounts, mirnaArray, mirnaSeq, nextGenerationTargetedSequencing, novelty response behavior, open field test, oxBS-Seq, pharmacodynamics, pharmacokinetics, photograph, polymeraseChainReaction, proximity extension assay, questionnaire, rnaArray, rnaSeq, rotarod performance test, sandwich ELISA, scATACSeq, scCGIseq, scale, scirnaSeq, scrnaSeq, scwholeGenomeSeq, snATACSeq, snpArray, snrnaSeq, spontaneous alternation, tractionForceMicroscopy, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq,10x multiome",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Biospecimen nonHuman,,,
batchSize,The number of samples,,,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,Metadata,Sage Bionetworks,Metabolomics,NUMBER,,
batchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherBatchSizeUnit ,PFU,PFUe,Pound,TCID50,bp,g/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,ManifestColumn,False,ManifestColumn,,Sage Bionetworks,,Metadata,Sage Bionetworks,Metabolomics,STRING,,
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.",,,,False,ManifestColumn,,"-The%20duration%20of,captivity%20duration,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-",,Metadata,,Individual nonHuman,,,
captivityStatus,"The status of the individual with regard to captivity. note: Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other are possible. Please let the data curation team know.","Not applicable, Not collected, Other, Stranded, Unknown, Wild,CaptiveCaptivityStatus",,,True,ManifestColumn,,"-The%20status%20of,captivity%20status,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=of%20the%20animal.-",,Metadata,,Individual nonHuman,,,
cohort,Name of the cohort the individual belongs to,"Cardiovascular Health Study (CHS), Denmark Family, Not applicable, Not collected, Other, Study of Osteoporotic Fractures (SOF), The Health and Aging and Body Composition Study (HealthABC), The Osteoporotic Fractures in Men (MrOS) Study, US Family, Unknown,Centenarian",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,"Individual Human,Individual nonHuman",,,
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark"").note: As a default, the valid scientific name for the species should be indicated. ",,,,True,ManifestColumn,,https://www.ebi.ac.uk/ols4/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1874,,Metadata,,Individual nonHuman,,,
consentGroup,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","Not collected, Disease Specific, Longevity Age and related Health Conditions, Non Profit Use, Not applicable,General Research Use",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Individual Human,,,
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","Not collected,  Other, 2, 3, Disease Specific, General Research Use, Longevity Age and related Health Conditions, Non Profit Use, Not applicable,1",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,Individual Human,,,
consortium,"Unique identifier for the consortium, assigned by the contributor","ILO, LC, NECS, Other,LLFS",,,True,ManifestColumn,,Sage Bionetworks,,Metadata,,"Individual Human,Individual nonHuman",,,
controlType,"Control samples suitable for normalization and batch correction.,Possible example values:,GIS,GoldenWest,NIST SRM 1950,AIBL pool, ,Baker pool, ,water plus Baker ISTD,study pool,internal standards,Other,Unknown,Not collected,Not applicable,Not specified","AIBL pool, Baker pool, GoldenWest, NIST SRM 1950, Not Specified, Not applicable, Not collected, Other, Unknown, internal standards, study pool, water plus Baker ISTD,GIS",,ManifestColumn,False,ManifestColumn,,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,,Metadata,"DSLWG,Sage Bionetworks,https://doi.org/10.1038/sdata.2017.140,https://doi.org/10.1101/2020.05.19.105197,https://www-s.nist.gov/srmors/view_detail.cfm?srm=1950",Metabolomics,STRING,"A data contributor should be able to write in a name OR provide one of these values:,Not applicable,Not collected,Not specified,Unknown",
