Unnamed: 0,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
231,Amniotic Fluid,,,,,False,ValidValue,,,,Sample Metadata,,
232,B cell,,,,,False,ValidValue,,,,Sample Metadata,,
233,Basophils,,,,,False,ValidValue,,,,Sample Metadata,,
234,Epithelium,,,,,False,ValidValue,,,,Sample Metadata,,
235,Feces,,,,,False,ValidValue,,,,Sample Metadata,,
236,Fibroblast,,,,,False,ValidValue,,,,Sample Metadata,,
237,Ileum,,,,,False,ValidValue,,,,Sample Metadata,,
238,Red Blood Cell,,,,,False,ValidValue,,,,Sample Metadata,,
239,Salivary Glands,,,,,False,ValidValue,,,,Sample Metadata,,
240,Skin of body,,,,,False,ValidValue,,,,Sample Metadata,,
241,Small intestine,,,,,False,ValidValue,,,,Sample Metadata,,
242,Spleen,,,,,False,ValidValue,,,,Sample Metadata,,
243,Stomach,,,,,False,ValidValue,,,,Sample Metadata,,
244,Thymus,,,,,False,ValidValue,,,,Sample Metadata,,
245,Trachea,,,,,False,ValidValue,,,,Sample Metadata,,
246,Tumor Tissue,,,,,False,ValidValue,,,,Sample Metadata,,
247,Urinary bladder,,,,,False,ValidValue,,,,Sample Metadata,,
248,Urine,,,,,False,ValidValue,,,,Sample Metadata,,
249,Vagina,,,,,False,ValidValue,,,,Sample Metadata,,
250,Whole blood,,,,,False,ValidValue,,,,Sample Metadata,,
251,blood,,,,,False,ValidValue,,,,Sample Metadata,,
252,brain,,,,,False,ValidValue,,,,Sample Metadata,,
