Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
10x,Platform,,,,False,ValidValue,,,,ValidValues,,,,,
Accel-NGS 2S Plus,,,,,False,ValidValue,,,,ValidValues,,,,,
Accel-NGS Methyl-Seq,,,,,False,ValidValue,,,,ValidValues,,,,,
Adult,,,,,False,ValidValue,,,,ValidValues,,,,,
Affymetrix Genome-Wide Human SNP 5.0 Array,,,,,False,ValidValue,,,,ValidValues,,,,,
AFU,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Agilent 44Karray,,,,,False,ValidValue,,,,ValidValues,,,,,
Aging,,,,,False,ValidValue,,,,ValidValues,,,,,
AI,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
AIBL pool,,,,,False,ValidValue,,,,ValidValues,,,,,
amplicon,,,,,False,ValidValue,,,,ValidValues,,,,,
ArrayExpress,,,,,False,ValidValue,,,,ValidValues,,,,,
AU/ml,Arbitrary units per milliliter,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Baker pool,,,,,False,ValidValue,,,,ValidValues,,,,,
BGISEQ-500,,,,,False,ValidValue,,,,ValidValues,,,,,
Bionano Irys,,,,,False,ValidValue,,,,ValidValues,,,,,
bpg/dl,,,,,False,MeasurementUnit,,,,ValidValues,,,,,
Broad Single Cell Portal,,,,,False,ValidValue,,,,ValidValues,,,,,
Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1,,,,,False,ValidValue,,,,ValidValues,,,,,
Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2,,,,,False,ValidValue,,,,ValidValues,,,,,
BU,,,,,False,ValidValue,,,,ValidValues,,,,,
bulk cell,,,,,False,ValidValue,,,,ValidValues,,,,,
bulk nuclei,,,,,False,ValidValue,,,,ValidValues,,,,,
CaptiveCaptivityStatus,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.","Not applicable, Not collected,Unknown",captivityDuration,,False,ValidValue,,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-,,ValidValues,,,,,
Cardiovascular Health Study (CHS),,,,,False,ValidValue,,,,ValidValues,,,,,
CEL-seq,,,,,False,ValidValue,,,,ValidValues,,,,,
