,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
0,specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",,,dataProperty,,,,Sage Bionetworks,
1,sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,OtherSampleType,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,dataProperty,,,,string,
2,specifySampleType,"If ""other"" is selected list the type of sample",,,dataProperty,,,,string,
3,measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,OtherMeasurementTechnique,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,dataProperty,,,,string,
4,specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,dataProperty,,,,string,
5,technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980,OtherTechnologyPlatformVersion,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
6,specifyPlatformVersion,"If ""other"" list the name of the platform version",,,dataProperty,,,,string,
7,platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","OtherPlatformLocation,Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
8,specifyPlatformLocation,"If ""other"" list the name of the platform location",,,dataProperty,,,,string,
9,referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not Specified",,dataProperty,,,,string,
