,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
fragmentMassTolerance,fragmentMassTolerance,FragmentMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,,,,Proteomics
msTarget,msTarget,MsTarget,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,True,,"['Not Specified', 'Not applicable', 'UnTargetedMsTarget', 'Unknown', 'TargetedMsTarget', 'Not collected']",,Proteomics
databaseName,databaseName,DatabaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",True,,"['Not Specified', 'Not applicable', 'MassBank of North America (MoNA)', 'HMDB', 'Metlin', 'Unknown', 'OtherDatabaseName', 'NIST17', 'Not collected']",,Proteomics
specifyOtherModificationParameters,specifyOtherModificationParameters,SpecifyOtherModificationParameters,Value is determined by the data contributor,False,,,,Proteomics
specifyMSAssayTechnique,specifyMSAssayTechnique,SpecifyMSAssayTechnique,Value is determined by the data contributor,False,,,,Proteomics
specifyMeasurementTechnique,specifyMeasurementTechnique,SpecifyMeasurementTechnique,Value is determined by the data contributor,False,,,,Proteomics
Filename,Filename,Filename,Name of the file. This helps to link annotations from metadata files.,True,,,,Proteomics
msAnalyzerTypeMS2,msAnalyzerTypeMS2,MsAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,,"['Not collected', 'Not Specified', 'Not applicable', 'triple quadrupole', 'Q Exactive HF-X', 'Exploris 240Exploris 480quadrupole time-of-flight', 'Orbitrap Fusion', 'Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2', 'Q Exactive Plus', 'Q Exactive HF', 'Xevo G2 QTOF', 'Unknown', 'Q Exactive', 'Orbitrap Fusion Lumos', 'time-of-flight', 'Xevo TQ-S', 'LTQ Orbitrap XL']",,Proteomics
specifyMSAnalyteType,specifyMSAnalyteType,SpecifyMSAnalyteType,Value is determined by the data contributor,False,,,,Proteomics
fractionIdentifier,fractionIdentifier,FractionIdentifier,"Identifier string that describes the sample fraction. This identifier should contain the fraction number(s) or similar information. (It MUST start from 1; if the experiment is not fractionated, 1 MUST be used for each MSRun (assay).",True,,,,Proteomics
specifyDigestionMethod,specifyDigestionMethod,SpecifyDigestionMethod,Value is determined by the data contributor,False,,,,Proteomics
spectrometerFrequency,spectrometerFrequency,SpectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),True,,,,Proteomics
msAnalyteType,msAnalyteType,MsAnalyteType,the type of biospecimen subjected to analysis,False,,"['Not Specified', 'Not applicable', 'metabolite', 'Other', 'Lipid', 'Protein', 'Unknown', 'Not collected', '']",,Proteomics
specifyPlatformVersion,specifyPlatformVersion,SpecifyPlatformVersion,Value is determined by the data contributor,False,,,,Proteomics
acquisitionMode,acquisitionMode,AcquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).",True,,"['Not Specified', 'Unknown', 'Not applicable', 'Not collected']",,Proteomics
specifyDatabaseSource,specifyDatabaseSource,SpecifyDatabaseSource,Value is determined by the data contributor,False,,,,Proteomics
specimenID,specimenID,SpecimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,,,,Proteomics
protoemicsAssayType,protoemicsAssayType,ProtoemicsAssayType,Type of peptide quantification used (ex. Label Free),True,,"['Not collected', 'Not applicable', 'Other', 'ITRAQ', 'TMT', 'Unknown', 'Label Free', 'SILAC', 'Targeted Absolute Quantitation']",,Proteomics
Component,Component,Component,TBD,False,,,,Proteomics
specifySampleType,specifySampleType,SpecifySampleType,Value is determined by the data contributor,False,,,,Proteomics
databaseWeblink,databaseWeblink,DatabaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs who generate their own search method",False,,,,Proteomics
databaseSource,databaseSource,DatabaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",False,,"['Not Specified', 'Not applicable', 'OtherDatabaseSource', 'Unknown', 'Not collected', '']",,Proteomics
